"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1991","66 and older","higher education","","","",""
"Complete transfer dependency","1991","16-34 y.","in school","1","","",""
"Complete transfer dependency","1991","16-34 y.","inadequately","6","","",""
"Complete transfer dependency","1991","16-34 y.","general elemantary","11","","",""
"Complete transfer dependency","1991","16-34 y.","middle vocational","5","","",""
"Complete transfer dependency","1991","16-34 y.","vocational + Abi","","","",""
"Complete transfer dependency","1991","16-34 y.","higher vocational","1","","",""
"Complete transfer dependency","1991","16-34 y.","higher education","1","","",""
"Complete transfer dependency","1991","35-65 y.","in school","","","",""
"Complete transfer dependency","1991","35-65 y.","inadequately","5","","",""
"Complete transfer dependency","1991","35-65 y.","general elemantary","10","","",""
"Complete transfer dependency","1991","35-65 y.","middle vocational","12","","",""
"Complete transfer dependency","1991","35-65 y.","vocational + Abi","2","","",""
"Complete transfer dependency","1991","35-65 y.","higher vocational","2","","",""
"Complete transfer dependency","1991","35-65 y.","higher education","","","",""
"Complete transfer dependency","1991","66 and older","in school","","","",""
"Complete transfer dependency","1991","66 and older","inadequately","","","",""
"Complete transfer dependency","1991","66 and older","general elemantary","","","",""
"Complete transfer dependency","1991","66 and older","middle vocational","","","",""
"Complete transfer dependency","1991","66 and older","vocational + Abi","","","",""
"Complete transfer dependency","1991","66 and older","higher vocational","","","",""
"Complete transfer dependency","1991","66 and older","higher education","","","",""
"No transfer dependency","1992","16-34 y.","in school","8","","",""
"No transfer dependency","1992","16-34 y.","inadequately","29","","",""
"No transfer dependency","1992","16-34 y.","general elemantary","232","0.27111911234033","0.243539308776417","0.298698915904242"
"No transfer dependency","1992","16-34 y.","middle vocational","782","0.388199065208215","0.36872202945804","0.407676100958389"
"No transfer dependency","1992","16-34 y.","vocational + Abi","84","0.456575008518384","0.389365188108074","0.523784828928694"
"No transfer dependency","1992","16-34 y.","higher vocational","86","0.488885758372239","0.421115735510594","0.556655781233883"
"No transfer dependency","1992","16-34 y.","higher education","116","0.395885263544347","0.349336350365667","0.442434176723028"
"No transfer dependency","1992","35-65 y.","in school","","","",""
"No transfer dependency","1992","35-65 y.","inadequately","118","0.315421061122157","0.270052743045713","0.3607893791986"
"No transfer dependency","1992","35-65 y.","general elemantary","583","0.584074315386549","0.555759513634628","0.612389117138469"
"No transfer dependency","1992","35-65 y.","middle vocational","1353","0.501066846278157","0.483788921603545","0.518344770952768"
"No transfer dependency","1992","35-65 y.","vocational + Abi","42","0.434565631538575","0.347667212784138","0.521464050293012"
"No transfer dependency","1992","35-65 y.","higher vocational","161","0.482181667126036","0.434279627210318","0.530083707041754"
"No transfer dependency","1992","35-65 y.","higher education","330","0.429715539707784","0.398956494591872","0.460474584823695"
"No transfer dependency","1992","66 and older","in school","","","",""
"No transfer dependency","1992","66 and older","inadequately","10","","",""
"No transfer dependency","1992","66 and older","general elemantary","377","0.824604223151966","0.790439574552885","0.858768871751048"
"No transfer dependency","1992","66 and older","middle vocational","597","0.859407286252685","0.833875040447871","0.884939532057499"
"No transfer dependency","1992","66 and older","vocational + Abi","23","","",""
"No transfer dependency","1992","66 and older","higher vocational","78","0.874171302445913","0.805267813837211","0.943074791054616"
"No transfer dependency","1992","66 and older","higher education","88","0.874760952247654","0.811451578980125","0.938070325515183"
"Very low transfer dependency","1992","16-34 y.","in school","151","0.891141035874349","0.844594304661444","0.937687767087254"
"Very low transfer dependency","1992","16-34 y.","inadequately","107","0.626278263486826","0.549869076442178","0.702687450531475"
"Very low transfer dependency","1992","16-34 y.","general elemantary","664","0.62707710102622","0.597074920691411","0.65707928136103"
"Very low transfer dependency","1992","16-34 y.","middle vocational","1374","0.523267560263727","0.503306214887943","0.543228905639512"
"Very low transfer dependency","1992","16-34 y.","vocational + Abi","103","0.455476386946394","0.388279654447869","0.52267311944492"
"Very low transfer dependency","1992","16-34 y.","higher vocational","108","0.408207535894409","0.341572878025392","0.474842193763427"
"Very low transfer dependency","1992","16-34 y.","higher education","253","0.501718333093324","0.454126481418918","0.54931018476773"
"Very low transfer dependency","1992","35-65 y.","in school","","","",""
"Very low transfer dependency","1992","35-65 y.","inadequately","241","0.574884367716085","0.526618584804122","0.623150150628048"
"Very low transfer dependency","1992","35-65 y.","general elemantary","489","0.343086341896025","0.315813684219923","0.370358999572128"
"Very low transfer dependency","1992","35-65 y.","middle vocational","1656","0.442501891035277","0.425338550261973","0.459665231808581"
"Very low transfer dependency","1992","35-65 y.","vocational + Abi","66","0.466207347332712","0.378755510223335","0.553659184442088"
"Very low transfer dependency","1992","35-65 y.","higher vocational","241","0.492919519446084","0.444991839663836","0.540847199228332"
"Very low transfer dependency","1992","35-65 y.","higher education","613","0.532525710991851","0.501523996955055","0.563527425028647"
"Very low transfer dependency","1992","66 and older","in school","","","",""
"Very low transfer dependency","1992","66 and older","inadequately","12","","",""
"Very low transfer dependency","1992","66 and older","general elemantary","90","0.158088904416823","0.125314981638282","0.190862827195364"
"Very low transfer dependency","1992","66 and older","middle vocational","111","0.137405967069957","0.112117988458651","0.162693945681264"
"Very low transfer dependency","1992","66 and older","vocational + Abi","1","","",""
"Very low transfer dependency","1992","66 and older","higher vocational","11","","",""
"Very low transfer dependency","1992","66 and older","higher education","17","","",""
"Low transfer dependency","1992","16-34 y.","in school","8","","",""
"Low transfer dependency","1992","16-34 y.","inadequately","12","","",""
"Low transfer dependency","1992","16-34 y.","general elemantary","56","0.0486691286203339","0.0353193089042522","0.0620189483364155"
"Low transfer dependency","1992","16-34 y.","middle vocational","199","0.0655048876038847","0.05561671768618","0.0753930575215893"
"Low transfer dependency","1992","16-34 y.","vocational + Abi","14","","",""
"Low transfer dependency","1992","16-34 y.","higher vocational","8","","",""
"Low transfer dependency","1992","16-34 y.","higher education","43","0.0670832440904525","0.0432713666972966","0.0908951214836084"
"Low transfer dependency","1992","35-65 y.","in school","","","",""
"Low transfer dependency","1992","35-65 y.","inadequately","27","","",""
"Low transfer dependency","1992","35-65 y.","general elemantary","58","0.0440703793608772","0.0322791807461724","0.0558615779755819"
"Low transfer dependency","1992","35-65 y.","middle vocational","139","0.0305037671085697","0.0245612237141001","0.0364463105030393"
"Low transfer dependency","1992","35-65 y.","vocational + Abi","12","","",""
"Low transfer dependency","1992","35-65 y.","higher vocational","11","","",""
"Low transfer dependency","1992","35-65 y.","higher education","38","0.0264083684994188","0.0164452395218297","0.0363714974770078"
"Low transfer dependency","1992","66 and older","in school","","","",""
"Low transfer dependency","1992","66 and older","inadequately","2","","",""
"Low transfer dependency","1992","66 and older","general elemantary","2","","",""
"Low transfer dependency","1992","66 and older","middle vocational","3","","",""
"Low transfer dependency","1992","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1992","66 and older","higher vocational","","","",""
"Low transfer dependency","1992","66 and older","higher education","","","",""
"High transfer dependency","1992","16-34 y.","in school","1","","",""
"High transfer dependency","1992","16-34 y.","inadequately","3","","",""
"High transfer dependency","1992","16-34 y.","general elemantary","22","","",""
"High transfer dependency","1992","16-34 y.","middle vocational","29","","",""
"High transfer dependency","1992","16-34 y.","vocational + Abi","3","","",""
"High transfer dependency","1992","16-34 y.","higher vocational","5","","",""
"High transfer dependency","1992","16-34 y.","higher education","9","","",""
"High transfer dependency","1992","35-65 y.","in school","","","",""
"High transfer dependency","1992","35-65 y.","inadequately","7","","",""
"High transfer dependency","1992","35-65 y.","general elemantary","18","","",""
"High transfer dependency","1992","35-65 y.","middle vocational","42","0.0117876246407009","0.00805803668508561","0.0155172125963161"
"High transfer dependency","1992","35-65 y.","vocational + Abi","3","","",""
"High transfer dependency","1992","35-65 y.","higher vocational","2","","",""
"High transfer dependency","1992","35-65 y.","higher education","11","","",""
"High transfer dependency","1992","66 and older","in school","","","",""
"High transfer dependency","1992","66 and older","inadequately","3","","",""
"High transfer dependency","1992","66 and older","general elemantary","5","","",""
"High transfer dependency","1992","66 and older","middle vocational","","","",""
"High transfer dependency","1992","66 and older","vocational + Abi","","","",""
"High transfer dependency","1992","66 and older","higher vocational","","","",""
"High transfer dependency","1992","66 and older","higher education","","","",""
"Very high transfer dependency","1992","16-34 y.","in school","4","","",""
"Very high transfer dependency","1992","16-34 y.","inadequately","1","","",""
"Very high transfer dependency","1992","16-34 y.","general elemantary","19","","",""
"Very high transfer dependency","1992","16-34 y.","middle vocational","12","","",""
"Very high transfer dependency","1992","16-34 y.","vocational + Abi","2","","",""
"Very high transfer dependency","1992","16-34 y.","higher vocational","2","","",""
"Very high transfer dependency","1992","16-34 y.","higher education","3","","",""
"Very high transfer dependency","1992","35-65 y.","in school","","","",""
"Very high transfer dependency","1992","35-65 y.","inadequately","5","","",""
"Very high transfer dependency","1992","35-65 y.","general elemantary","9","","",""
"Very high transfer dependency","1992","35-65 y.","middle vocational","15","","",""
"Very high transfer dependency","1992","35-65 y.","vocational + Abi","","","",""
"Very high transfer dependency","1992","35-65 y.","higher vocational","2","","",""
"Very high transfer dependency","1992","35-65 y.","higher education","3","","",""
"Very high transfer dependency","1992","66 and older","in school","","","",""
"Very high transfer dependency","1992","66 and older","inadequately","","","",""
"Very high transfer dependency","1992","66 and older","general elemantary","2","","",""
"Very high transfer dependency","1992","66 and older","middle vocational","","","",""
"Very high transfer dependency","1992","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1992","66 and older","higher vocational","","","",""
"Very high transfer dependency","1992","66 and older","higher education","","","",""
"Complete transfer dependency","1992","16-34 y.","in school","","","",""
"Complete transfer dependency","1992","16-34 y.","inadequately","2","","",""
"Complete transfer dependency","1992","16-34 y.","general elemantary","5","","",""
"Complete transfer dependency","1992","16-34 y.","middle vocational","9","","",""
"Complete transfer dependency","1992","16-34 y.","vocational + Abi","5","","",""
"Complete transfer dependency","1992","16-34 y.","higher vocational","","","",""
"Complete transfer dependency","1992","16-34 y.","higher education","","","",""
"Complete transfer dependency","1992","35-65 y.","in school","","","",""
"Complete transfer dependency","1992","35-65 y.","inadequately","5","","",""
"Complete transfer dependency","1992","35-65 y.","general elemantary","7","","",""
"Complete transfer dependency","1992","35-65 y.","middle vocational","12","","",""
"Complete transfer dependency","1992","35-65 y.","vocational + Abi","2","","",""
"Complete transfer dependency","1992","35-65 y.","higher vocational","1","","",""
"Complete transfer dependency","1992","35-65 y.","higher education","","","",""
"Complete transfer dependency","1992","66 and older","in school","","","",""
"Complete transfer dependency","1992","66 and older","inadequately","","","",""
"Complete transfer dependency","1992","66 and older","general elemantary","","","",""
"Complete transfer dependency","1992","66 and older","middle vocational","1","","",""
"Complete transfer dependency","1992","66 and older","vocational + Abi","","","",""
"Complete transfer dependency","1992","66 and older","higher vocational","","","",""
"Complete transfer dependency","1992","66 and older","higher education","","","",""
"No transfer dependency","1993","16-34 y.","in school","3","","",""
"No transfer dependency","1993","16-34 y.","inadequately","33","0.280202595446462","0.210176362753887","0.350228828139037"
"No transfer dependency","1993","16-34 y.","general elemantary","211","0.266957485697357","0.23917607813071","0.294738893264004"
"No transfer dependency","1993","16-34 y.","middle vocational","844","0.398100441780861","0.378689585253365","0.417511298308358"
"No transfer dependency","1993","16-34 y.","vocational + Abi","94","0.508652816357691","0.442290000334222","0.575015632381159"
"No transfer dependency","1993","16-34 y.","higher vocational","83","0.530638361336498","0.461124948180822","0.600151774492175"
"No transfer dependency","1993","16-34 y.","higher education","114","0.413315603999743","0.365058498957906","0.461572709041579"
"No transfer dependency","1993","35-65 y.","in school","","","",""
"No transfer dependency","1993","35-65 y.","inadequately","134","0.334556642974769","0.288995998490923","0.380117287458616"
"No transfer dependency","1993","35-65 y.","general elemantary","536","0.578946413094038","0.550133882048508","0.607758944139569"
"No transfer dependency","1993","35-65 y.","middle vocational","1316","0.485621369391279","0.468456932297776","0.502785806484782"
"No transfer dependency","1993","35-65 y.","vocational + Abi","37","0.392271266374771","0.305631692092895","0.478910840656647"
"No transfer dependency","1993","35-65 y.","higher vocational","155","0.455701976625123","0.408574055845727","0.502829897404519"
"No transfer dependency","1993","35-65 y.","higher education","338","0.425915654561407","0.395935104312342","0.455896204810473"
"No transfer dependency","1993","66 and older","in school","","","",""
"No transfer dependency","1993","66 and older","inadequately","11","","",""
"No transfer dependency","1993","66 and older","general elemantary","392","0.81816520465062","0.784152308315122","0.852178100986118"
"No transfer dependency","1993","66 and older","middle vocational","625","0.874228144883529","0.850272199777517","0.89818408998954"
"No transfer dependency","1993","66 and older","vocational + Abi","24","","",""
"No transfer dependency","1993","66 and older","higher vocational","77","0.877752808259932","0.809312443671567","0.946193172848296"
"No transfer dependency","1993","66 and older","higher education","95","0.851753697530323","0.787365820053935","0.91614157500671"
"Very low transfer dependency","1993","16-34 y.","in school","156","0.908860373258782","0.866340303915438","0.951380442602127"
"Very low transfer dependency","1993","16-34 y.","inadequately","105","0.584571879081471","0.507732038882211","0.661411719280731"
"Very low transfer dependency","1993","16-34 y.","general elemantary","638","0.609159698160678","0.578516515922168","0.639802880399188"
"Very low transfer dependency","1993","16-34 y.","middle vocational","1270","0.489758571667184","0.469935760714303","0.509581382620064"
"Very low transfer dependency","1993","16-34 y.","vocational + Abi","102","0.417273289167931","0.35181530908662","0.482731269249242"
"Very low transfer dependency","1993","16-34 y.","higher vocational","101","0.408030820503451","0.33957481904465","0.476486821962252"
"Very low transfer dependency","1993","16-34 y.","higher education","245","0.501244912106025","0.452245964370971","0.550243859841078"
"Very low transfer dependency","1993","35-65 y.","in school","","","",""
"Very low transfer dependency","1993","35-65 y.","inadequately","228","0.509945704883716","0.461675009854717","0.558216399912716"
"Very low transfer dependency","1993","35-65 y.","general elemantary","498","0.346253657115699","0.318488805171465","0.374018509059933"
"Very low transfer dependency","1993","35-65 y.","middle vocational","1646","0.441894156699212","0.424838964187179","0.458949349211246"
"Very low transfer dependency","1993","35-65 y.","vocational + Abi","72","0.555430347637785","0.467253841858972","0.643606853416598"
"Very low transfer dependency","1993","35-65 y.","higher vocational","244","0.500280839830006","0.452966870855449","0.547594808804564"
"Very low transfer dependency","1993","35-65 y.","higher education","638","0.524878658346806","0.494601042642704","0.555156274050908"
"Very low transfer dependency","1993","66 and older","in school","","","",""
"Very low transfer dependency","1993","66 and older","inadequately","10","","",""
"Very low transfer dependency","1993","66 and older","general elemantary","87","0.154649480815091","0.122765153296629","0.186533808333552"
"Very low transfer dependency","1993","66 and older","middle vocational","103","0.118536791384106","0.0951840503927573","0.141889532375454"
"Very low transfer dependency","1993","66 and older","vocational + Abi","1","","",""
"Very low transfer dependency","1993","66 and older","higher vocational","11","","",""
"Very low transfer dependency","1993","66 and older","higher education","22","","",""
"Low transfer dependency","1993","16-34 y.","in school","13","","",""
"Low transfer dependency","1993","16-34 y.","inadequately","8","","",""
"Low transfer dependency","1993","16-34 y.","general elemantary","78","0.0779735832153155","0.061134670692562","0.0948124957380691"
"Low transfer dependency","1993","16-34 y.","middle vocational","230","0.0685423493971123","0.0585228180612908","0.0785618807329338"
"Low transfer dependency","1993","16-34 y.","vocational + Abi","13","","",""
"Low transfer dependency","1993","16-34 y.","higher vocational","12","","",""
"Low transfer dependency","1993","16-34 y.","higher education","29","","",""
"Low transfer dependency","1993","35-65 y.","in school","","","",""
"Low transfer dependency","1993","35-65 y.","inadequately","25","","",""
"Low transfer dependency","1993","35-65 y.","general elemantary","55","0.0365243593835106","0.0255771048896992","0.047471613877322"
"Low transfer dependency","1993","35-65 y.","middle vocational","210","0.0438990136728026","0.0368631328243578","0.0509348945212475"
"Low transfer dependency","1993","35-65 y.","vocational + Abi","8","","",""
"Low transfer dependency","1993","35-65 y.","higher vocational","26","","",""
"Low transfer dependency","1993","35-65 y.","higher education","47","0.031946255645511","0.0212839859947764","0.0426085252962455"
"Low transfer dependency","1993","66 and older","in school","","","",""
"Low transfer dependency","1993","66 and older","inadequately","2","","",""
"Low transfer dependency","1993","66 and older","general elemantary","9","","",""
"Low transfer dependency","1993","66 and older","middle vocational","8","","",""
"Low transfer dependency","1993","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1993","66 and older","higher vocational","","","",""
"Low transfer dependency","1993","66 and older","higher education","","","",""
"High transfer dependency","1993","16-34 y.","in school","3","","",""
"High transfer dependency","1993","16-34 y.","inadequately","4","","",""
"High transfer dependency","1993","16-34 y.","general elemantary","22","","",""
"High transfer dependency","1993","16-34 y.","middle vocational","53","0.0217599338506175","0.015974474238749","0.0275453934624861"
"High transfer dependency","1993","16-34 y.","vocational + Abi","6","","",""
"High transfer dependency","1993","16-34 y.","higher vocational","2","","",""
"High transfer dependency","1993","16-34 y.","higher education","8","","",""
"High transfer dependency","1993","35-65 y.","in school","","","",""
"High transfer dependency","1993","35-65 y.","inadequately","12","","",""
"High transfer dependency","1993","35-65 y.","general elemantary","21","","",""
"High transfer dependency","1993","35-65 y.","middle vocational","51","0.0151045792785221","0.0109157892856833","0.0192933692713608"
"High transfer dependency","1993","35-65 y.","vocational + Abi","2","","",""
"High transfer dependency","1993","35-65 y.","higher vocational","1","","",""
"High transfer dependency","1993","35-65 y.","higher education","16","","",""
"High transfer dependency","1993","66 and older","in school","","","",""
"High transfer dependency","1993","66 and older","inadequately","3","","",""
"High transfer dependency","1993","66 and older","general elemantary","2","","",""
"High transfer dependency","1993","66 and older","middle vocational","","","",""
"High transfer dependency","1993","66 and older","vocational + Abi","","","",""
"High transfer dependency","1993","66 and older","higher vocational","","","",""
"High transfer dependency","1993","66 and older","higher education","","","",""
"Very high transfer dependency","1993","16-34 y.","in school","1","","",""
"Very high transfer dependency","1993","16-34 y.","inadequately","4","","",""
"Very high transfer dependency","1993","16-34 y.","general elemantary","16","","",""
"Very high transfer dependency","1993","16-34 y.","middle vocational","28","","",""
"Very high transfer dependency","1993","16-34 y.","vocational + Abi","2","","",""
"Very high transfer dependency","1993","16-34 y.","higher vocational","","","",""
"Very high transfer dependency","1993","16-34 y.","higher education","3","","",""
"Very high transfer dependency","1993","35-65 y.","in school","","","",""
"Very high transfer dependency","1993","35-65 y.","inadequately","10","","",""
"Very high transfer dependency","1993","35-65 y.","general elemantary","16","","",""
"Very high transfer dependency","1993","35-65 y.","middle vocational","21","","",""
"Very high transfer dependency","1993","35-65 y.","vocational + Abi","1","","",""
"Very high transfer dependency","1993","35-65 y.","higher vocational","2","","",""
"Very high transfer dependency","1993","35-65 y.","higher education","5","","",""
"Very high transfer dependency","1993","66 and older","in school","","","",""
"Very high transfer dependency","1993","66 and older","inadequately","","","",""
"Very high transfer dependency","1993","66 and older","general elemantary","4","","",""
"Very high transfer dependency","1993","66 and older","middle vocational","","","",""
"Very high transfer dependency","1993","66 and older","vocational + Abi","","","",""
"Very high transfer dependency","1993","66 and older","higher vocational","","","",""
"Very high transfer dependency","1993","66 and older","higher education","","","",""
"Complete transfer dependency","1993","16-34 y.","in school","","","",""
"Complete transfer dependency","1993","16-34 y.","inadequately","4","","",""
"Complete transfer dependency","1993","16-34 y.","general elemantary","9","","",""
"Complete transfer dependency","1993","16-34 y.","middle vocational","18","","",""
"Complete transfer dependency","1993","16-34 y.","vocational + Abi","1","","",""
"Complete transfer dependency","1993","16-34 y.","higher vocational","","","",""
"Complete transfer dependency","1993","16-34 y.","higher education","1","","",""
"Complete transfer dependency","1993","35-65 y.","in school","","","",""
"Complete transfer dependency","1993","35-65 y.","inadequately","3","","",""
"Complete transfer dependency","1993","35-65 y.","general elemantary","2","","",""
"Complete transfer dependency","1993","35-65 y.","middle vocational","13","","",""
"Complete transfer dependency","1993","35-65 y.","vocational + Abi","2","","",""
"Complete transfer dependency","1993","35-65 y.","higher vocational","1","","",""
"Complete transfer dependency","1993","35-65 y.","higher education","1","","",""
"Complete transfer dependency","1993","66 and older","in school","","","",""
"Complete transfer dependency","1993","66 and older","inadequately","","","",""
"Complete transfer dependency","1993","66 and older","general elemantary","","","",""
"Complete transfer dependency","1993","66 and older","middle vocational","","","",""
"Complete transfer dependency","1993","66 and older","vocational + Abi","","","",""
"Complete transfer dependency","1993","66 and older","higher vocational","","","",""
"Complete transfer dependency","1993","66 and older","higher education","","","",""
"No transfer dependency","1994","16-34 y.","in school","9","","",""
"No transfer dependency","1994","16-34 y.","inadequately","22","","",""
"No transfer dependency","1994","16-34 y.","general elemantary","192","0.257316607489299","0.22844998972501","0.286183225253587"
"No transfer dependency","1994","16-34 y.","middle vocational","835","0.397552316747246","0.377849390501027","0.417255242993465"
"No transfer dependency","1994","16-34 y.","vocational + Abi","87","0.403188388122061","0.341256800992829","0.465119975251292"
"No transfer dependency","1994","16-34 y.","higher vocational","87","0.569834664896218","0.503345569109707","0.636323760682729"
"No transfer dependency","1994","16-34 y.","higher education","139","0.451998605377455","0.40364707041725","0.500350140337659"
"No transfer dependency","1994","35-65 y.","in school","","","",""
"No transfer dependency","1994","35-65 y.","inadequately","118","0.313714411106688","0.266626074478993","0.360802747734383"
"No transfer dependency","1994","35-65 y.","general elemantary","517","0.578137902283857","0.548602225591745","0.607673578975969"
"No transfer dependency","1994","35-65 y.","middle vocational","1302","0.481895016941338","0.464657828463907","0.499132205418769"
"No transfer dependency","1994","35-65 y.","vocational + Abi","30","0.325310797733451","0.238156718134804","0.412464877332098"
"No transfer dependency","1994","35-65 y.","higher vocational","160","0.464164226784806","0.416525655474349","0.511802798095263"
"No transfer dependency","1994","35-65 y.","higher education","361","0.452697183721399","0.422328499188025","0.483065868254774"
"No transfer dependency","1994","66 and older","in school","","","",""
"No transfer dependency","1994","66 and older","inadequately","21","","",""
"No transfer dependency","1994","66 and older","general elemantary","400","0.847356797124272","0.815183218752889","0.879530375495655"
"No transfer dependency","1994","66 and older","middle vocational","654","0.894096882977857","0.872015547340446","0.916178218615268"
"No transfer dependency","1994","66 and older","vocational + Abi","21","","",""
"No transfer dependency","1994","66 and older","higher vocational","82","0.927117702062807","0.873709757993596","0.980525646132018"
"No transfer dependency","1994","66 and older","higher education","109","0.870073205270412","0.812052835089793","0.928093575451031"
"Very low transfer dependency","1994","16-34 y.","in school","197","0.88142526692876","0.83973535988062","0.923115173976901"
"Very low transfer dependency","1994","16-34 y.","inadequately","96","0.670939131433211","0.591382685621542","0.750495577244881"
"Very low transfer dependency","1994","16-34 y.","general elemantary","551","0.589946180349359","0.557468368279966","0.622423992418751"
"Very low transfer dependency","1994","16-34 y.","middle vocational","1224","0.483772454417974","0.463653052175878","0.503891856660069"
"Very low transfer dependency","1994","16-34 y.","vocational + Abi","123","0.467404533847031","0.404412625920447","0.530396441773616"
"Very low transfer dependency","1994","16-34 y.","higher vocational","110","0.369509485353144","0.30468928582081","0.434329684885479"
"Very low transfer dependency","1994","16-34 y.","higher education","229","0.45996722905128","0.411547273170911","0.508387184931649"
"Very low transfer dependency","1994","35-65 y.","in school","","","",""
"Very low transfer dependency","1994","35-65 y.","inadequately","211","0.511746122425572","0.461018581964133","0.562473662887012"
"Very low transfer dependency","1994","35-65 y.","general elemantary","458","0.345302224545099","0.31686638394496","0.373738065145237"
"Very low transfer dependency","1994","35-65 y.","middle vocational","1611","0.438777567890408","0.421658857409435","0.45589627837138"
"Very low transfer dependency","1994","35-65 y.","vocational + Abi","67","0.584888051664449","0.493222618846163","0.676553484482736"
"Very low transfer dependency","1994","35-65 y.","higher vocational","228","0.478555738815838","0.430838285917166","0.526273191714511"
"Very low transfer dependency","1994","35-65 y.","higher education","601","0.496289037594626","0.465784370847912","0.52679370434134"
"Very low transfer dependency","1994","66 and older","in school","","","",""
"Very low transfer dependency","1994","66 and older","inadequately","6","","",""
"Very low transfer dependency","1994","66 and older","general elemantary","68","0.134109849104189","0.103624637833411","0.164595060374967"
"Very low transfer dependency","1994","66 and older","middle vocational","81","0.0952245027517069","0.0741613465038939","0.11628765899952"
"Very low transfer dependency","1994","66 and older","vocational + Abi","1","","",""
"Very low transfer dependency","1994","66 and older","higher vocational","9","","",""
"Very low transfer dependency","1994","66 and older","higher education","18","","",""
"Low transfer dependency","1994","16-34 y.","in school","14","","",""
"Low transfer dependency","1994","16-34 y.","inadequately","8","","",""
"Low transfer dependency","1994","16-34 y.","general elemantary","80","0.079636108743118","0.0617590964785137","0.0975131210077223"
"Low transfer dependency","1994","16-34 y.","middle vocational","220","0.0728612540116915","0.0623973293458611","0.0833251786775219"
"Low transfer dependency","1994","16-34 y.","vocational + Abi","19","","",""
"Low transfer dependency","1994","16-34 y.","higher vocational","15","","",""
"Low transfer dependency","1994","16-34 y.","higher education","25","","",""
"Low transfer dependency","1994","35-65 y.","in school","","","",""
"Low transfer dependency","1994","35-65 y.","inadequately","25","","",""
"Low transfer dependency","1994","35-65 y.","general elemantary","54","0.0316234201647493","0.0211576183071533","0.0420892220223452"
"Low transfer dependency","1994","35-65 y.","middle vocational","203","0.0447359491932075","0.0376046054052625","0.0518672929811524"
"Low transfer dependency","1994","35-65 y.","vocational + Abi","12","","",""
"Low transfer dependency","1994","35-65 y.","higher vocational","22","","",""
"Low transfer dependency","1994","35-65 y.","higher education","47","0.0305241460068323","0.0200287579229122","0.0410195340907524"
"Low transfer dependency","1994","66 and older","in school","","","",""
"Low transfer dependency","1994","66 and older","inadequately","1","","",""
"Low transfer dependency","1994","66 and older","general elemantary","9","","",""
"Low transfer dependency","1994","66 and older","middle vocational","9","","",""
"Low transfer dependency","1994","66 and older","vocational + Abi","","","",""
"Low transfer dependency","1994","66 and older","higher vocational","","","",""
"Low transfer dependency","1994","66 and older","higher education","2","","",""
"High transfer dependency","1994","16-34 y.","in school","6","","",""
"High transfer dependency","1994","16-34 y.","inadequately","3","","",""
"High transfer dependency","1994","16-34 y.","general elemantary","23","","",""
"High transfer dependency","1994","16-34 y.","middle vocational","47","0.0200719889120097","0.0144256595445959","0.0257183182794234"
"High transfer dependency","1994","16-34 y.","vocational + Abi","4","","",""
"High transfer dependency","1994","16-34 y.","higher vocational","1","","",""
"High transfer dependency","1994","16-34 y.","higher education","9","","",""
"High transfer dependency","1994","35-65 y.","in school","","","",""
"High transfer dependency","1994","35-65 y.","inadequately","8","","",""
"High transfer dependency","1994","35-65 y.","general elemantary","29","","",""
"High transfer dependency","1994","35-65 y.","middle vocational","64","0.0163856534371064","0.012006142272414","0.0207651646017987"
"High transfer dependency","1994","35-65 y.","vocational + Abi","1","","",""
"High transfer dependency","1994","35-65 y.","higher vocational","8","","",""
"High transfer dependency","1994","35-65 y.","higher education","17","","",""
"High transfer dependency","1994","66 and older","in school","","","",""
"High transfer dependency","1994","66 and older","inadequately","2","","",""
"High transfer dependency","1994","66 and older","general elemantary","1","","",""
"High transfer dependency","1994","66 and older","middle vocational","1","","",""
"High transfer dependency","1994","66 and older","vocational + Abi","1","","",""
"High transfer dependency","1994","66 and older","higher vocational","","","",""
"High transfer dependency","1994","66 and older","higher education","","","",""
"Very high transfer dependency","1994","16-34 y.","in school","3","","",""
"Very high transfer dependency","1994","16-34 y.","inadequately","3","","",""
"Very high transfer dependency","1994","16-34 y.","general elemantary","22","","",""
"Very high transfer dependency","1994","16-34 y.","middle vocational","28","","",""
"Very high transfer dependency","1994","16-34 y.","vocational + Abi","4","","",""
"Very high transfer dependency","1994","16-34 y.","higher vocational","","","",""
"Very high transfer dependency","1994","16-34 y.","higher education","4","","",""
"Very high transfer dependency","1994","35-65 y.","in school","","","",""
"Very high transfer dependency","1994","35-65 y.","inadequately","2","","",""
"Very high transfer dependency","1994","35-65 y.","general elemantary","11","","",""
"Very high transfer dependency","1994","35-65 y.","middle vocational","32","0.0117267168424636","0.00801300609288939","0.0154404275920379"
"Very high transfer dependency","1994","35-65 y.","vocational + Abi","","","",""
"Very high transfer dependency","1994","35-65 y.","higher vocational","2","","",""
"Very high transfer dependency","1994","35-65 y.","higher education","5","","",""
"Very high transfer dependency","1994","66 and older","in school","","","",""
"Very high transfer dependency","1994","66 and older","inadequately","1","","",""
"Very high transfer dependency","1994","66 and older","general elemantary","2","","",""
