"transab_cat","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1993","66 and older","Urban Area","","","",""
"Complete transfer dependency","1993","66 and older","Rural Area","","","",""
"No transfer dependency","1994","16-34 y.","Urban Area","1047","0.406352041089626","0.389118024516437","0.423586057662815"
"No transfer dependency","1994","16-34 y.","Rural Area","368","0.273836919311153","0.251345197672043","0.296328640950262"
"No transfer dependency","1994","35-65 y.","Urban Area","1743","0.502386559960278","0.487161616746989","0.517611503173567"
"No transfer dependency","1994","35-65 y.","Rural Area","763","0.440608489985418","0.41962328445715","0.461593695513686"
"No transfer dependency","1994","66 and older","Urban Area","872","0.889050490556233","0.869613745839402","0.908487235273064"
"No transfer dependency","1994","66 and older","Rural Area","419","0.850896526411517","0.819799770930623","0.881993281892411"
"Very low transfer dependency","1994","16-34 y.","Urban Area","1724","0.488795587116931","0.471255500677527","0.506335673556335"
"Very low transfer dependency","1994","16-34 y.","Rural Area","894","0.574963022085454","0.550028965992201","0.599897078178707"
"Very low transfer dependency","1994","35-65 y.","Urban Area","2050","0.430657097847487","0.415579110155447","0.445735085539526"
"Very low transfer dependency","1994","35-65 y.","Rural Area","1156","0.463848783057836","0.442769262936674","0.484928303178997"
"Very low transfer dependency","1994","66 and older","Urban Area","108","0.0976076132287665","0.0792406573622639","0.115974569095269"
"Very low transfer dependency","1994","66 and older","Rural Area","77","0.132345030822271","0.102760807532623","0.161929254111919"
"Low transfer dependency","1994","16-34 y.","Urban Area","226","0.0587507298237298","0.0504992896877873","0.0670021699596722"
"Low transfer dependency","1994","16-34 y.","Rural Area","164","0.0893847340643335","0.0749948015588738","0.103774666569793"
"Low transfer dependency","1994","35-65 y.","Urban Area","210","0.0337093143221937","0.0282136590806548","0.0392049695637326"
"Low transfer dependency","1994","35-65 y.","Rural Area","156","0.056250551913124","0.0465114118790402","0.0659896919472079"
"Low transfer dependency","1994","66 and older","Urban Area","14","","",""
"Low transfer dependency","1994","66 and older","Rural Area","7","","",""
"High transfer dependency","1994","16-34 y.","Urban Area","49","0.0174011343857358","0.0128128777251986","0.021989391046273"
"High transfer dependency","1994","16-34 y.","Rural Area","47","0.0331423559529784","0.0241135031325724","0.0421712087733845"
"High transfer dependency","1994","35-65 y.","Urban Area","86","0.0170507797081487","0.0131086738040544","0.020992885612243"
"High transfer dependency","1994","35-65 y.","Rural Area","42","0.0195786996083146","0.013722347887873","0.0254350513287562"
"High transfer dependency","1994","66 and older","Urban Area","5","","",""
"High transfer dependency","1994","66 and older","Rural Area","","","",""
"Very high transfer dependency","1994","16-34 y.","Urban Area","44","0.0165225312490625","0.0120496095841327","0.0209954529139923"
"Very high transfer dependency","1994","16-34 y.","Rural Area","26","","",""
"Very high transfer dependency","1994","35-65 y.","Urban Area","28","","",""
"Very high transfer dependency","1994","35-65 y.","Rural Area","24","","",""
"Very high transfer dependency","1994","66 and older","Urban Area","4","","",""
"Very high transfer dependency","1994","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1994","16-34 y.","Urban Area","30","0.0121779763349147","0.0083294212310443","0.016026531438785"
"Complete transfer dependency","1994","16-34 y.","Rural Area","11","","",""
"Complete transfer dependency","1994","35-65 y.","Urban Area","26","","",""
"Complete transfer dependency","1994","35-65 y.","Rural Area","9","","",""
"Complete transfer dependency","1994","66 and older","Urban Area","","","",""
"Complete transfer dependency","1994","66 and older","Rural Area","","","",""
"No transfer dependency","1995","16-34 y.","Urban Area","1106","0.420443755053943","0.403316552379979","0.437570957727906"
"No transfer dependency","1995","16-34 y.","Rural Area","387","0.284948549640405","0.262498658756157","0.307398440524653"
"No transfer dependency","1995","35-65 y.","Urban Area","1743","0.487990275116473","0.473029110852395","0.502951439380552"
"No transfer dependency","1995","35-65 y.","Rural Area","817","0.442986837773684","0.422461752409516","0.463511923137853"
"No transfer dependency","1995","66 and older","Urban Area","923","0.913868284329414","0.896817091211757","0.930919477447072"
"No transfer dependency","1995","66 and older","Rural Area","429","0.878590314138738","0.849934174057789","0.907246454219687"
"Very low transfer dependency","1995","16-34 y.","Urban Area","1717","0.464256258967433","0.446952433513831","0.481560084421035"
"Very low transfer dependency","1995","16-34 y.","Rural Area","907","0.558396626310473","0.533699299575082","0.583093953045865"
"Very low transfer dependency","1995","35-65 y.","Urban Area","2166","0.433465545828576","0.418633155094633","0.44829793656252"
"Very low transfer dependency","1995","35-65 y.","Rural Area","1154","0.444930359132296","0.424396215791859","0.465464502472733"
"Very low transfer dependency","1995","66 and older","Urban Area","100","0.0778879865921661","0.061600333899096","0.0941756392852362"
"Very low transfer dependency","1995","66 and older","Rural Area","56","0.0952961812444716","0.0695336353291519","0.121058727159791"
"Low transfer dependency","1995","16-34 y.","Urban Area","193","0.0524818225713561","0.0447446386894374","0.0602190064532748"
"Low transfer dependency","1995","16-34 y.","Rural Area","167","0.0907686453229579","0.0764807752588919","0.105056515387024"
"Low transfer dependency","1995","35-65 y.","Urban Area","208","0.0361774785692545","0.0305884235456547","0.0417665335928543"
"Low transfer dependency","1995","35-65 y.","Rural Area","181","0.0685486548729806","0.0581077921035307","0.0789895176424305"
"Low transfer dependency","1995","66 and older","Urban Area","8","","",""
"Low transfer dependency","1995","66 and older","Rural Area","10","","",""
"High transfer dependency","1995","16-34 y.","Urban Area","70","0.0256160920661306","0.0201345067474468","0.0310976773848144"
"High transfer dependency","1995","16-34 y.","Rural Area","43","0.0254965461558953","0.017656931227279","0.0333361610845117"
"High transfer dependency","1995","35-65 y.","Urban Area","73","0.015574702162057","0.0118685609685591","0.019280843355555"
"High transfer dependency","1995","35-65 y.","Rural Area","55","0.0180363380173006","0.012537401281154","0.0235352747534472"
"High transfer dependency","1995","66 and older","Urban Area","4","","",""
"High transfer dependency","1995","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1995","16-34 y.","Urban Area","60","0.0174806486159667","0.012933553730354","0.0220277435015793"
"Very high transfer dependency","1995","16-34 y.","Rural Area","35","0.0255833284870953","0.0177307327552577","0.0334359242189328"
"Very high transfer dependency","1995","35-65 y.","Urban Area","50","0.0128203181254126","0.00945312359153879","0.0161875126592864"
"Very high transfer dependency","1995","35-65 y.","Rural Area","31","0.0155700842907256","0.010454506240019","0.0206856623414321"
"Very high transfer dependency","1995","66 and older","Urban Area","2","","",""
"Very high transfer dependency","1995","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1995","16-34 y.","Urban Area","45","0.0197214227251711","0.0148971864948034","0.0245456589555387"
"Complete transfer dependency","1995","16-34 y.","Rural Area","14","","",""
"Complete transfer dependency","1995","35-65 y.","Urban Area","48","0.013971680198226","0.0104585866451233","0.0174847737513287"
"Complete transfer dependency","1995","35-65 y.","Rural Area","12","","",""
"Complete transfer dependency","1995","66 and older","Urban Area","3","","",""
"Complete transfer dependency","1995","66 and older","Rural Area","","","",""
"No transfer dependency","1996","16-34 y.","Urban Area","1086","0.407392812699667","0.39009076428489","0.424694861114445"
"No transfer dependency","1996","16-34 y.","Rural Area","384","0.272131642941141","0.249706017272163","0.294557268610119"
"No transfer dependency","1996","35-65 y.","Urban Area","1605","0.457593518314212","0.442544457039075","0.472642579589349"
"No transfer dependency","1996","35-65 y.","Rural Area","714","0.396254852236426","0.376076001176017","0.416433703296836"
"No transfer dependency","1996","66 and older","Urban Area","920","0.894248626016124","0.875770861539375","0.912726390492874"
"No transfer dependency","1996","66 and older","Rural Area","429","0.894358506124415","0.867334919773253","0.921382092475576"
"Very low transfer dependency","1996","16-34 y.","Urban Area","1656","0.490289680433101","0.472686324364375","0.507893036501826"
"Very low transfer dependency","1996","16-34 y.","Rural Area","892","0.584906557556455","0.560078381947545","0.609734733165365"
"Very low transfer dependency","1996","35-65 y.","Urban Area","2159","0.446070398151721","0.431055028363143","0.461085767940299"
"Very low transfer dependency","1996","35-65 y.","Rural Area","1194","0.462488617434122","0.441918978497486","0.483058256370757"
"Very low transfer dependency","1996","66 and older","Urban Area","118","0.0873604123544541","0.0703942246951624","0.104326600013746"
"Very low transfer dependency","1996","66 and older","Rural Area","49","0.0776200367206836","0.0540960054131477","0.10114406802822"
"Low transfer dependency","1996","16-34 y.","Urban Area","189","0.0494383535725419","0.0418047513172831","0.0570719558278007"
"Low transfer dependency","1996","16-34 y.","Rural Area","160","0.0968465387566822","0.0819443021584438","0.111748775354921"
"Low transfer dependency","1996","35-65 y.","Urban Area","245","0.0467689299427361","0.0403909249539087","0.0531469349315636"
"Low transfer dependency","1996","35-65 y.","Rural Area","209","0.081018424832071","0.0697612966515154","0.0922755530126265"
"Low transfer dependency","1996","66 and older","Urban Area","18","","",""
"Low transfer dependency","1996","66 and older","Rural Area","15","","",""
"High transfer dependency","1996","16-34 y.","Urban Area","73","0.0234175504841145","0.0180923915467396","0.0287427094214895"
"High transfer dependency","1996","16-34 y.","Rural Area","45","0.0262899875941196","0.0182280647868685","0.0343519104013708"
"High transfer dependency","1996","35-65 y.","Urban Area","103","0.0235751632400333","0.0189921215666275","0.0281582049134391"
"High transfer dependency","1996","35-65 y.","Rural Area","80","0.0287671899566165","0.0218712621747166","0.0356631177385164"
"High transfer dependency","1996","66 and older","Urban Area","3","","",""
"High transfer dependency","1996","66 and older","Rural Area","2","","",""
"Very high transfer dependency","1996","16-34 y.","Urban Area","53","0.0142498608454165","0.0100764021515087","0.0184233195393243"
"Very high transfer dependency","1996","16-34 y.","Rural Area","23","","",""
"Very high transfer dependency","1996","35-65 y.","Urban Area","55","0.0112902129591802","0.00809873002416907","0.0144816958941914"
"Very high transfer dependency","1996","35-65 y.","Rural Area","51","0.0242702523603654","0.0179215607670888","0.0306189439536419"
"Very high transfer dependency","1996","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1996","66 and older","Rural Area","2","","",""
"Complete transfer dependency","1996","16-34 y.","Urban Area","41","0.015211741965159","0.0109018310833825","0.0195216528469355"
"Complete transfer dependency","1996","16-34 y.","Rural Area","9","","",""
"Complete transfer dependency","1996","35-65 y.","Urban Area","43","0.0147017773921172","0.0110661797418091","0.0183373750424254"
"Complete transfer dependency","1996","35-65 y.","Rural Area","9","","",""
"Complete transfer dependency","1996","66 and older","Urban Area","4","","",""
"Complete transfer dependency","1996","66 and older","Rural Area","","","",""
"No transfer dependency","1997","16-34 y.","Urban Area","1000","0.365281335104447","0.348268028901235","0.38229464130766"
"No transfer dependency","1997","16-34 y.","Rural Area","340","0.251190269324232","0.229117101718845","0.273263436929619"
"No transfer dependency","1997","35-65 y.","Urban Area","1554","0.42935695933062","0.414526026646888","0.444187892014352"
"No transfer dependency","1997","35-65 y.","Rural Area","679","0.370194145549052","0.350374367472331","0.390013923625774"
"No transfer dependency","1997","66 and older","Urban Area","939","0.883384090735189","0.864338721186634","0.902429460283745"
"No transfer dependency","1997","66 and older","Rural Area","439","0.872946589604103","0.844155802949816","0.90173737625839"
"Very low transfer dependency","1997","16-34 y.","Urban Area","1657","0.505578363044715","0.487912806806677","0.523243919282753"
"Very low transfer dependency","1997","16-34 y.","Rural Area","873","0.562335783714375","0.537086684108642","0.587584883320107"
"Very low transfer dependency","1997","35-65 y.","Urban Area","2217","0.46576197990621","0.45081593230826","0.48070802750416"
"Very low transfer dependency","1997","35-65 y.","Rural Area","1225","0.466996076458706","0.446517371626072","0.487474781291341"
"Very low transfer dependency","1997","66 and older","Urban Area","121","0.0883340163363907","0.0714949666023833","0.105173066070398"
"Very low transfer dependency","1997","66 and older","Rural Area","61","0.0989143639969383","0.0731048844887021","0.124723843505175"
"Low transfer dependency","1997","16-34 y.","Urban Area","245","0.070018762491767","0.0610024563039597","0.0790350686795743"
"Low transfer dependency","1997","16-34 y.","Rural Area","176","0.107239307703939","0.0914914295271712","0.122987185880706"
"Low transfer dependency","1997","35-65 y.","Urban Area","310","0.0560355309401166","0.0491444632293315","0.0629265986509017"
"Low transfer dependency","1997","35-65 y.","Rural Area","230","0.0941415751098805","0.0821548219640474","0.106128328255714"
"Low transfer dependency","1997","66 and older","Urban Area","21","","",""
"Low transfer dependency","1997","66 and older","Rural Area","9","","",""
"High transfer dependency","1997","16-34 y.","Urban Area","73","0.0228986286907412","0.0176134595353313","0.0281837978461511"
"High transfer dependency","1997","16-34 y.","Rural Area","56","0.0442247700945007","0.033760999903146","0.0546885402858554"
"High transfer dependency","1997","35-65 y.","Urban Area","99","0.0201173101138107","0.0159105383910413","0.0243240818365801"
"High transfer dependency","1997","35-65 y.","Rural Area","81","0.034681647835112","0.0271712003987327","0.0421920952714913"
"High transfer dependency","1997","66 and older","Urban Area","6","","",""
"High transfer dependency","1997","66 and older","Rural Area","5","","",""
"Very high transfer dependency","1997","16-34 y.","Urban Area","61","0.0201043039771616","0.0151450221514842","0.0250635858028391"
"Very high transfer dependency","1997","16-34 y.","Rural Area","31","0.0248319304966184","0.0169119795131087","0.0327518814801281"
"Very high transfer dependency","1997","35-65 y.","Urban Area","59","0.0136797941960893","0.0101994219660972","0.0171601664260814"
"Very high transfer dependency","1997","35-65 y.","Rural Area","52","0.0280207375537009","0.021246678967819","0.0347947961395828"
"Very high transfer dependency","1997","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1997","66 and older","Rural Area","","","",""
"Complete transfer dependency","1997","16-34 y.","Urban Area","41","0.0161186066911679","0.0116690221186047","0.0205681912637312"
"Complete transfer dependency","1997","16-34 y.","Rural Area","7","","",""
"Complete transfer dependency","1997","35-65 y.","Urban Area","40","0.0150484255131533","0.0114006347555224","0.0186962162707843"
"Complete transfer dependency","1997","35-65 y.","Rural Area","13","","",""
"Complete transfer dependency","1997","66 and older","Urban Area","3","","",""
"Complete transfer dependency","1997","66 and older","Rural Area","","","",""
"No transfer dependency","1998","16-34 y.","Urban Area","1034","0.361590319613389","0.345023553482668","0.378157085744111"
"No transfer dependency","1998","16-34 y.","Rural Area","348","0.240656831286922","0.219585096175748","0.261728566398097"
"No transfer dependency","1998","35-65 y.","Urban Area","1832","0.444584356614503","0.430564596758607","0.458604116470398"
"No transfer dependency","1998","35-65 y.","Rural Area","827","0.368793297707832","0.350343340409366","0.387243255006297"
"No transfer dependency","1998","66 and older","Urban Area","1091","0.884215837970287","0.866659801389652","0.901771874550923"
"No transfer dependency","1998","66 and older","Rural Area","525","0.879557150710358","0.853728262307068","0.905386039113648"
"Very low transfer dependency","1998","16-34 y.","Urban Area","1762","0.506168115502698","0.488928936951454","0.523407294053942"
"Very low transfer dependency","1998","16-34 y.","Rural Area","945","0.590579318916295","0.566340795387499","0.614817842445092"
"Very low transfer dependency","1998","35-65 y.","Urban Area","2454","0.453874307699862","0.43982779435573","0.467920821043994"
"Very low transfer dependency","1998","35-65 y.","Rural Area","1382","0.478754323517085","0.459651584516822","0.497857062517348"
"Very low transfer dependency","1998","66 and older","Urban Area","142","0.0934937435843492","0.0775202676571304","0.109467219511568"
"Very low transfer dependency","1998","66 and older","Rural Area","69","0.0963528365292073","0.0729367200072403","0.119768953051174"
"Low transfer dependency","1998","16-34 y.","Urban Area","241","0.0639621879801711","0.0555251896314762","0.072399186328866"
"Low transfer dependency","1998","16-34 y.","Rural Area","193","0.104046764487965","0.0889966737979271","0.119096855178003"
"Low transfer dependency","1998","35-65 y.","Urban Area","296","0.04914036363294","0.043041740156222","0.055238987109658"
"Low transfer dependency","1998","35-65 y.","Rural Area","275","0.0955097016742087","0.084270285428852","0.106749117919565"
"Low transfer dependency","1998","66 and older","Urban Area","32","0.0164488785655571","0.00946994008568828","0.023427817045426"
"Low transfer dependency","1998","66 and older","Rural Area","14","","",""
"High transfer dependency","1998","16-34 y.","Urban Area","86","0.0257394313834589","0.0202791295637884","0.0311997332031294"
"High transfer dependency","1998","16-34 y.","Rural Area","49","0.0305526298100428","0.0220692565982603","0.0390360030218254"
"High transfer dependency","1998","35-65 y.","Urban Area","113","0.0225414458243826","0.0183535632835772","0.026729328365188"
"High transfer dependency","1998","35-65 y.","Rural Area","70","0.0215932604277182","0.0160350256950013","0.027151495160435"
"High transfer dependency","1998","66 and older","Urban Area","5","","",""
"High transfer dependency","1998","66 and older","Rural Area","","","",""
"Very high transfer dependency","1998","16-34 y.","Urban Area","61","0.0211983791525643","0.0162315607705513","0.0261651975345773"
"Very high transfer dependency","1998","16-34 y.","Rural Area","29","","",""
"Very high transfer dependency","1998","35-65 y.","Urban Area","83","0.0161913202130668","0.0126304931002736","0.01975214732586"
"Very high transfer dependency","1998","35-65 y.","Rural Area","48","0.0198185577325416","0.014488801874791","0.0251483135902922"
"Very high transfer dependency","1998","66 and older","Urban Area","3","","",""
"Very high transfer dependency","1998","66 and older","Rural Area","2","","",""
"Complete transfer dependency","1998","16-34 y.","Urban Area","47","0.0213415663677182","0.0163583662376651","0.0263247664977714"
"Complete transfer dependency","1998","16-34 y.","Rural Area","17","","",""
"Complete transfer dependency","1998","35-65 y.","Urban Area","48","0.0136682060152461","0.0103923733694943","0.0169440386609978"
"Complete transfer dependency","1998","35-65 y.","Rural Area","25","","",""
"Complete transfer dependency","1998","66 and older","Urban Area","3","","",""
"Complete transfer dependency","1998","66 and older","Rural Area","","","",""
"No transfer dependency","1999","16-34 y.","Urban Area","976","0.348372010646458","0.331379165012421","0.365364856280494"
"No transfer dependency","1999","16-34 y.","Rural Area","356","0.239328937037428","0.21786505568977","0.260792818385086"
"No transfer dependency","1999","35-65 y.","Urban Area","1763","0.442101759982999","0.427906433148565","0.456297086817434"
"No transfer dependency","1999","35-65 y.","Rural Area","772","0.354343395354696","0.335686886872474","0.372999903836919"
"No transfer dependency","1999","66 and older","Urban Area","1058","0.893023046442913","0.875672119357443","0.910373973528382"
"No transfer dependency","1999","66 and older","Rural Area","521","0.888189938676502","0.863140980430525","0.91323889692248"
"Very low transfer dependency","1999","16-34 y.","Urban Area","1659","0.533467806449771","0.515675201486787","0.551260411412756"
"Very low transfer dependency","1999","16-34 y.","Rural Area","868","0.570718732221035","0.545819025155828","0.595618439286241"
"Very low transfer dependency","1999","35-65 y.","Urban Area","2471","0.469740878585801","0.45547560745438","0.484006149717223"
"Very low transfer dependency","1999","35-65 y.","Rural Area","1372","0.51061990428118","0.491121933263557","0.530117875298802"
"Very low transfer dependency","1999","66 and older","Urban Area","125","0.0851517637769011","0.069483618496938","0.100819909056864"
"Very low transfer dependency","1999","66 and older","Rural Area","75","0.091998314305571","0.0690246874063648","0.114971941204777"
"Low transfer dependency","1999","16-34 y.","Urban Area","214","0.0563260352480389","0.0481034156781789","0.0645486548178989"
"Low transfer dependency","1999","16-34 y.","Rural Area","194","0.122364756833046","0.105879435820376","0.138850077845716"
"Low transfer dependency","1999","35-65 y.","Urban Area","295","0.0536692955857289","0.0472277335761353","0.0601108575953226"
"Low transfer dependency","1999","35-65 y.","Rural Area","239","0.0775558072848229","0.067123157908099","0.0879884566615468"
"Low transfer dependency","1999","66 and older","Urban Area","28","","",""
"Low transfer dependency","1999","66 and older","Rural Area","8","","",""
"High transfer dependency","1999","16-34 y.","Urban Area","95","0.03345472575159","0.0270413829011931","0.0398680686019869"
"High transfer dependency","1999","16-34 y.","Rural Area","54","0.0308022643400796","0.0221104643824722","0.0394940642976869"
"High transfer dependency","1999","35-65 y.","Urban Area","82","0.0135147181333524","0.0102144017156517","0.0168150345510531"
"High transfer dependency","1999","35-65 y.","Rural Area","75","0.0230589978870463","0.0172047408966623","0.0289132548774304"
"High transfer dependency","1999","66 and older","Urban Area","7","","",""
"High transfer dependency","1999","66 and older","Rural Area","3","","",""
"Very high transfer dependency","1999","16-34 y.","Urban Area","46","0.0172973081415529","0.0126473937905898","0.0219472224925161"
"Very high transfer dependency","1999","16-34 y.","Rural Area","32","0.0247100318190163","0.0169006665597124","0.0325193970783201"
"Very high transfer dependency","1999","35-65 y.","Urban Area","42","0.00783075507081824","0.00531132981162298","0.0103501803300135"
"Very high transfer dependency","1999","35-65 y.","Rural Area","51","0.0223819809822115","0.0166123071863672","0.0281516547780559"
"Very high transfer dependency","1999","66 and older","Urban Area","1","","",""
"Very high transfer dependency","1999","66 and older","Rural Area","1","","",""
"Complete transfer dependency","1999","16-34 y.","Urban Area","30","0.0110821137625894","0.00734844284024465","0.0148157846849341"
"Complete transfer dependency","1999","16-34 y.","Rural Area","14","","",""
"Complete transfer dependency","1999","35-65 y.","Urban Area","49","0.0131425926412997","0.00988741641707117","0.0163977688655282"
"Complete transfer dependency","1999","35-65 y.","Rural Area","16","","",""
"Complete transfer dependency","1999","66 and older","Urban Area","","","",""
"Complete transfer dependency","1999","66 and older","Rural Area","","","",""
"No transfer dependency","2000","16-34 y.","Urban Area","1515","0.366255042718704","0.352394144592195","0.380115940845213"
"No transfer dependency","2000","16-34 y.","Rural Area","545","0.270108167492925","0.252280924667289","0.287935410318561"
"No transfer dependency","2000","35-65 y.","Urban Area","3583","0.464921525808696","0.454485194847012","0.475357856770381"
"No transfer dependency","2000","35-65 y.","Rural Area","1608","0.403268235164161","0.389005083005927","0.417531387322395"
"No transfer dependency","2000","66 and older","Urban Area","2108","0.896572792263457","0.884341324612258","0.908804259914656"
"No transfer dependency","2000","66 and older","Rural Area","1090","0.893674142562767","0.876565170889457","0.910783114236077"
"Very low transfer dependency","2000","16-34 y.","Urban Area","2525","0.508671948720989","0.494289031494869","0.523054865947108"
"Very low transfer dependency","2000","16-34 y.","Rural Area","1423","0.568301855782763","0.548415019528723","0.588188692036803"
"Very low transfer dependency","2000","35-65 y.","Urban Area","4396","0.454616002147603","0.444197079090761","0.465034925204446"
"Very low transfer dependency","2000","35-65 y.","Rural Area","2294","0.464354846798496","0.449854028492346","0.478855665104646"
"Very low transfer dependency","2000","66 and older","Urban Area","212","0.0800893434296355","0.0691867809307641","0.0909919059285069"
"Very low transfer dependency","2000","66 and older","Rural Area","113","0.0771882819448549","0.0623751428159367","0.0920014210737731"
"Low transfer dependency","2000","16-34 y.","Urban Area","353","0.0700234086549193","0.0626816527832845","0.0773651645265541"
"Low transfer dependency","2000","16-34 y.","Rural Area","260","0.102106977907671","0.0899499873521031","0.114263968463238"
"Low transfer dependency","2000","35-65 y.","Urban Area","454","0.0411120444573229","0.0369575541993132","0.0452665347153325"
"Low transfer dependency","2000","35-65 y.","Rural Area","407","0.0805230603338586","0.0726115484166824","0.0884345722510349"
"Low transfer dependency","2000","66 and older","Urban Area","48","0.0179754625614889","0.0126388017527763","0.0233121233702016"
"Low transfer dependency","2000","66 and older","Rural Area","32","0.0203319630140102","0.012498676907603","0.0281652491204173"
"High transfer dependency","2000","16-34 y.","Urban Area","114","0.0269877910920477","0.0223256531251654","0.0316499290589299"
"High transfer dependency","2000","16-34 y.","Rural Area","80","0.030196295726521","0.0233255350064174","0.0370670564466245"
"High transfer dependency","2000","35-65 y.","Urban Area","122","0.0120814390737797","0.00979547614853547","0.0143674019990238"
"High transfer dependency","2000","35-65 y.","Rural Area","136","0.0267768062223168","0.0220831147091939","0.0314704977354398"
"High transfer dependency","2000","66 and older","Urban Area","9","","",""
"High transfer dependency","2000","66 and older","Rural Area","7","","",""
"Very high transfer dependency","2000","16-34 y.","Urban Area","72","0.0149178632635507","0.0114302217396593","0.0184055047874422"
"Very high transfer dependency","2000","16-34 y.","Rural Area","53","0.0205524965480727","0.014855985505248","0.0262490075908974"
"Very high transfer dependency","2000","35-65 y.","Urban Area","108","0.0141842170919503","0.0117099313971418","0.0166585027867589"
"Very high transfer dependency","2000","35-65 y.","Rural Area","66","0.0167699741036492","0.0130364179128326","0.0205035302944657"
"Very high transfer dependency","2000","66 and older","Urban Area","2","","",""
"Very high transfer dependency","2000","66 and older","Rural Area","1","","",""
"Complete transfer dependency","2000","16-34 y.","Urban Area","62","0.0131439455497893","0.00986728020869956","0.0164206108908791"
"Complete transfer dependency","2000","16-34 y.","Rural Area","22","","",""
"Complete transfer dependency","2000","35-65 y.","Urban Area","111","0.0130847714206475","0.010706988127167","0.0154625547141281"
"Complete transfer dependency","2000","35-65 y.","Rural Area","33","0.00830707737751838","0.00566806355791","0.0109460911971268"
"Complete transfer dependency","2000","66 and older","Urban Area","2","","",""
"Complete transfer dependency","2000","66 and older","Rural Area","4","","",""
"No transfer dependency","2001","16-34 y.","Urban Area","1234","0.339857114424291","0.32533734218705","0.354376886661533"
"No transfer dependency","2001","16-34 y.","Rural Area","413","0.263360832146418","0.244395685208142","0.282325979084693"
"No transfer dependency","2001","35-65 y.","Urban Area","2950","0.435847410399925","0.424965783703644","0.446729037096206"
"No transfer dependency","2001","35-65 y.","Rural Area","1280","0.363358262330749","0.34870209535702","0.378014429304477"
"No transfer dependency","2001","66 and older","Urban Area","1944","0.872298361103485","0.858541207904871","0.886055514302099"
"No transfer dependency","2001","66 and older","Rural Area","982","0.86268345726165","0.843012223674301","0.882354690848999"
"Very low transfer dependency","2001","16-34 y.","Urban Area","2290","0.516050818675938","0.500731524256396","0.531370113095479"
"Very low transfer dependency","2001","16-34 y.","Rural Area","1270","0.58499367696444","0.563778035944587","0.606209317984294"
"Very low transfer dependency","2001","35-65 y.","Urban Area","4307","0.483996858074341","0.473030163732488","0.494963552416195"
"Very low transfer dependency","2001","35-65 y.","Rural Area","2218","0.496273056893131","0.481037326820363","0.511508786965899"
"Very low transfer dependency","2001","66 and older","Urban Area","259","0.0999085576129203","0.0875478745561412","0.112269240669699"
"Very low transfer dependency","2001","66 and older","Rural Area","158","0.111821864857297","0.093810035064248","0.129833694650347"
"Low transfer dependency","2001","16-34 y.","Urban Area","331","0.0806267246506652","0.0722807301556098","0.0889727191457206"
"Low transfer dependency","2001","16-34 y.","Rural Area","253","0.0901296202302591","0.0777992320358002","0.102460008424718"
"Low transfer dependency","2001","35-65 y.","Urban Area","405","0.0402073257163283","0.0358964092802455","0.0445182421524111"
"Low transfer dependency","2001","35-65 y.","Rural Area","409","0.0837151013697426","0.075275489023455","0.0921547137160301"
"Low transfer dependency","2001","66 and older","Urban Area","38","0.0173058884391533","0.0119305732280431","0.0226812036502635"
"Low transfer dependency","2001","66 and older","Rural Area","29","","",""
"High transfer dependency","2001","16-34 y.","Urban Area","102","0.0277274350782191","0.022694266094886","0.0327606040615523"
"High transfer dependency","2001","16-34 y.","Rural Area","73","0.0294742184605505","0.0221917618976073","0.0367566750234938"
"High transfer dependency","2001","35-65 y.","Urban Area","140","0.0155151578126035","0.0128030252650064","0.0182272903602006"
"High transfer dependency","2001","35-65 y.","Rural Area","109","0.0222921095313005","0.0177934256703387","0.0267907933922624"
"High transfer dependency","2001","66 and older","Urban Area","16","","",""
"High transfer dependency","2001","66 and older","Rural Area","3","","",""
"Very high transfer dependency","2001","16-34 y.","Urban Area","79","0.0210100671525812","0.0166136845494954","0.0254064497556671"
"Very high transfer dependency","2001","16-34 y.","Rural Area","50","0.0279398187245375","0.0208438517723017","0.0350357856767733"
"Very high transfer dependency","2001","35-65 y.","Urban Area","96","0.0129053753234639","0.0104285635226046","0.0153821871243233"
"Very high transfer dependency","2001","35-65 y.","Rural Area","83","0.024578100602542","0.0198599071864611","0.029296294018623"
"Very high transfer dependency","2001","66 and older","Urban Area","3","","",""
"Very high transfer dependency","2001","66 and older","Rural Area","","","",""
"Complete transfer dependency","2001","16-34 y.","Urban Area","52","0.0147278400183052","0.0110351718544109","0.0184205081821995"
"Complete transfer dependency","2001","16-34 y.","Rural Area","13","","",""
"Complete transfer dependency","2001","35-65 y.","Urban Area","79","0.0115278726733382","0.00918534303534222","0.0138704023113342"
"Complete transfer dependency","2001","35-65 y.","Rural Area","38","0.0097833692725351","0.0067841055005312","0.012782633044539"
"Complete transfer dependency","2001","66 and older","Urban Area","1","","",""
"Complete transfer dependency","2001","66 and older","Rural Area","4","","",""
"No transfer dependency","2002","16-34 y.","Urban Area","1167","0.328023519508461","0.313499429375931","0.342547609640991"
"No transfer dependency","2002","16-34 y.","Rural Area","391","0.251995006833171","0.23309467483697","0.270895338829373"
