"plb0196_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"No","2011","16-34 y.","no migration background","528","0.254296051148378","0.235394714918466","0.273197387378289"
"No","2011","16-34 y.","direct migration background","53","0.168493960901102","0.122820585154414","0.214167336647791"
"No","2011","16-34 y.","indirect migration background","69","0.240354670660397","0.188011523981197","0.292697817339597"
"No","2011","35-65 y.","no migration background","1741","0.264516553295494","0.253931378038778","0.27510172855221"
"No","2011","35-65 y.","direct migration background","178","0.276792454001808","0.242502428004985","0.31108247999863"
"No","2011","35-65 y.","indirect migration background","49","0.214161139225765","0.1619322243443","0.26639005410723"
"No","2011","66 and older","no migration background","12","","",""
"No","2011","66 and older","direct migration background","","","",""
"No","2011","66 and older","indirect migration background","","","",""
"Yes","2012","16-34 y.","no migration background","1473","0.741586710732476","0.72235796961765","0.760815451847303"
"Yes","2012","16-34 y.","direct migration background","166","0.648488901880156","0.586919789043673","0.710058014716639"
"Yes","2012","16-34 y.","indirect migration background","175","0.798398006469867","0.747954869435022","0.848841143504712"
"Yes","2012","35-65 y.","no migration background","4904","0.71383107029016","0.703127135094173","0.724535005486148"
"Yes","2012","35-65 y.","direct migration background","481","0.668652870529549","0.634199598263998","0.7031061427951"
"Yes","2012","35-65 y.","indirect migration background","207","0.751517568484807","0.700719978772355","0.802315158197259"
"Yes","2012","66 and older","no migration background","21","","",""
"Yes","2012","66 and older","direct migration background","","","",""
"Yes","2012","66 and older","indirect migration background","","","",""
"No","2012","16-34 y.","no migration background","518","0.258413289267524","0.239184548152697","0.27764203038235"
"No","2012","16-34 y.","direct migration background","65","0.351511098119844","0.289941985283361","0.413080210956327"
"No","2012","16-34 y.","indirect migration background","68","0.201601993530133","0.151158856495288","0.252045130564978"
"No","2012","35-65 y.","no migration background","1945","0.28616892970984","0.275464994513852","0.296872864905827"
"No","2012","35-65 y.","direct migration background","236","0.331347129470451","0.2968938572049","0.365800401736002"
"No","2012","35-65 y.","indirect migration background","71","0.248482431515193","0.197684841802741","0.299280021227645"
"No","2012","66 and older","no migration background","22","","",""
"No","2012","66 and older","direct migration background","2","","",""
"No","2012","66 and older","indirect migration background","","","",""
"Yes","2013","16-34 y.","no migration background","1363","0.719400834760658","0.698943971726488","0.739857697794828"
"Yes","2013","16-34 y.","direct migration background","420","0.722743778045456","0.68665375312976","0.758833802961152"
"Yes","2013","16-34 y.","indirect migration background","310","0.748316939721925","0.706663598430564","0.789970281013287"
"Yes","2013","35-65 y.","no migration background","4614","0.731679431540954","0.720759005890932","0.742599857190977"
"Yes","2013","35-65 y.","direct migration background","989","0.693963648822242","0.670019439000064","0.717907858644421"
"Yes","2013","35-65 y.","indirect migration background","271","0.79272195003027","0.751362761724575","0.834081138335965"
"Yes","2013","66 and older","no migration background","15","","",""
"Yes","2013","66 and older","direct migration background","1","","",""
"Yes","2013","66 and older","indirect migration background","","","",""
"No","2013","16-34 y.","no migration background","490","0.280599165239342","0.260142302205172","0.301056028273512"
"No","2013","16-34 y.","direct migration background","171","0.277256221954544","0.241166197038848","0.31334624687024"
"No","2013","16-34 y.","indirect migration background","107","0.251683060278075","0.210029718986713","0.293336401569436"
"No","2013","35-65 y.","no migration background","1710","0.268320568459046","0.257400142809023","0.279240994109068"
"No","2013","35-65 y.","direct migration background","434","0.306036351177758","0.282092141355579","0.329980560999936"
"No","2013","35-65 y.","indirect migration background","98","0.20727804996973","0.165918861664035","0.248637238275425"
"No","2013","66 and older","no migration background","12","","",""
"No","2013","66 and older","direct migration background","3","","",""
"No","2013","66 and older","indirect migration background","","","",""
"Yes","2014","16-34 y.","no migration background","1223","0.731202200070617","0.709952071889103","0.752452328252131"
"Yes","2014","16-34 y.","direct migration background","328","0.770384628547397","0.731438582990904","0.80933067410389"
"Yes","2014","16-34 y.","indirect migration background","271","0.788159219660866","0.74618243561545","0.830136003706281"
"Yes","2014","35-65 y.","no migration background","4317","0.728285086998639","0.717001894395884","0.739568279601395"
"Yes","2014","35-65 y.","direct migration background","785","0.701228528323401","0.674797065292614","0.727659991354189"
"Yes","2014","35-65 y.","indirect migration background","246","0.752778999019614","0.706374992753761","0.799183005285468"
"Yes","2014","66 and older","no migration background","16","","",""
"Yes","2014","66 and older","direct migration background","4","","",""
"Yes","2014","66 and older","indirect migration background","","","",""
"No","2014","16-34 y.","no migration background","449","0.268797799929383","0.247547671747869","0.290047928110896"
"No","2014","16-34 y.","direct migration background","120","0.229615371452603","0.19066932589611","0.268561417009096"
"No","2014","16-34 y.","indirect migration background","93","0.211840780339134","0.169863996293719","0.25381756438455"
"No","2014","35-65 y.","no migration background","1654","0.271714913001361","0.260431720398605","0.282998105604116"
"No","2014","35-65 y.","direct migration background","367","0.298771471676598","0.272340008645811","0.325202934707386"
"No","2014","35-65 y.","indirect migration background","86","0.247221000980386","0.200816994714532","0.293625007246239"
"No","2014","66 and older","no migration background","21","","",""
"No","2014","66 and older","direct migration background","3","","",""
"No","2014","66 and older","indirect migration background","","","",""
"Yes","2015","16-34 y.","no migration background","1176","0.758624026877259","0.737265749629539","0.779982304124978"
"Yes","2015","16-34 y.","direct migration background","431","0.768163333902836","0.734340083002775","0.801986584802897"
"Yes","2015","16-34 y.","indirect migration background","217","0.74779261414331","0.698402577044047","0.797182651242574"
"Yes","2015","35-65 y.","no migration background","4323","0.767705624562269","0.756592511917424","0.778818737207114"
"Yes","2015","35-65 y.","direct migration background","860","0.76035205471708","0.735871520745429","0.784832588688731"
"Yes","2015","35-65 y.","indirect migration background","246","0.792251794703351","0.748279971730442","0.836223617676261"
"Yes","2015","66 and older","no migration background","23","","",""
"Yes","2015","66 and older","direct migration background","3","","",""
"Yes","2015","66 and older","indirect migration background","","","",""
"No","2015","16-34 y.","no migration background","366","0.241375973122741","0.220017695875022","0.262734250370461"
"No","2015","16-34 y.","direct migration background","167","0.231836666097164","0.198013415197103","0.265659916997225"
"No","2015","16-34 y.","indirect migration background","80","0.25220738585669","0.202817348757426","0.301597422955953"
"No","2015","35-65 y.","no migration background","1224","0.232294375437731","0.221181262792886","0.243407488082575"
"No","2015","35-65 y.","direct migration background","308","0.23964794528292","0.215167411311269","0.264128479254571"
"No","2015","35-65 y.","indirect migration background","81","0.207748205296648","0.163776382323739","0.251720028269558"
"No","2015","66 and older","no migration background","21","","",""
"No","2015","66 and older","direct migration background","1","","",""
"No","2015","66 and older","indirect migration background","","","",""
"Yes","2016","16-34 y.","no migration background","1084","0.762387709648568","0.740156189644486","0.784619229652649"
"Yes","2016","16-34 y.","direct migration background","350","0.77062909576111","0.732292021363533","0.808966170158688"
"Yes","2016","16-34 y.","indirect migration background","201","0.768367389204834","0.717573733906985","0.819161044502684"
"Yes","2016","35-65 y.","no migration background","4184","0.766683037303325","0.755462532143494","0.777903542463155"
"Yes","2016","35-65 y.","direct migration background","792","0.736135997392978","0.709875462891194","0.762396531894762"
"Yes","2016","35-65 y.","indirect migration background","250","0.76905971587583","0.72359012981495","0.81452930193671"
"Yes","2016","66 and older","no migration background","31","0.731880687271798","0.599477617124384","0.864283757419212"
"Yes","2016","66 and older","direct migration background","4","","",""
"Yes","2016","66 and older","indirect migration background","","","",""
"No","2016","16-34 y.","no migration background","324","0.237612290351432","0.215380770347351","0.259843810355514"
"No","2016","16-34 y.","direct migration background","112","0.229370904238889","0.191033829841312","0.267707978636467"
"No","2016","16-34 y.","indirect migration background","64","0.231632610795166","0.180838955497316","0.282426266093015"
"No","2016","35-65 y.","no migration background","1274","0.233316962696676","0.222096457536845","0.244537467856506"
"No","2016","35-65 y.","direct migration background","290","0.263864002607022","0.237603468105238","0.290124537108807"
"No","2016","35-65 y.","indirect migration background","80","0.23094028412417","0.18547069806329","0.27640987018505"
"No","2016","66 and older","no migration background","12","","",""
"No","2016","66 and older","direct migration background","","","",""
"No","2016","66 and older","indirect migration background","","","",""
"Yes","2017","16-34 y.","no migration background","1306","0.790651126518386","0.771155918135096","0.810146334901676"
"Yes","2017","16-34 y.","direct migration background","338","0.793230571697139","0.755560235914946","0.830900907479332"
"Yes","2017","16-34 y.","indirect migration background","204","0.740995185868653","0.688836690221179","0.793153681516128"
"Yes","2017","35-65 y.","no migration background","4497","0.752806827073065","0.74182088675825","0.76379276738788"
"Yes","2017","35-65 y.","direct migration background","795","0.760075692225638","0.734712746157221","0.785438638294055"
"Yes","2017","35-65 y.","indirect migration background","257","0.756179593188957","0.710403656146942","0.801955530230973"
"Yes","2017","66 and older","no migration background","32","0.705016025205535","0.58106642645523","0.828965623955841"
"Yes","2017","66 and older","direct migration background","1","","",""
"Yes","2017","66 and older","indirect migration background","1","","",""
"No","2017","16-34 y.","no migration background","367","0.209348873481614","0.189853665098324","0.228844081864904"
"No","2017","16-34 y.","direct migration background","106","0.206769428302861","0.169099092520668","0.244439764085054"
"No","2017","16-34 y.","indirect migration background","67","0.259004814131347","0.206846318483872","0.311163309778821"
"No","2017","35-65 y.","no migration background","1426","0.247193172926935","0.23620723261212","0.25817911324175"
"No","2017","35-65 y.","direct migration background","294","0.239924307774362","0.214561361705945","0.265287253842779"
"No","2017","35-65 y.","indirect migration background","81","0.243820406811043","0.198044469769027","0.289596343853058"
"No","2017","66 and older","no migration background","20","","",""
"No","2017","66 and older","direct migration background","4","","",""
"No","2017","66 and older","indirect migration background","","","",""
"Yes","2018","16-34 y.","no migration background","1333","0.779631825021372","0.760071649017284","0.79919200102546"
"Yes","2018","16-34 y.","direct migration background","410","0.764734769594542","0.729882886386132","0.799586652802952"
"Yes","2018","16-34 y.","indirect migration background","212","0.752604974682447","0.702683642503709","0.802526306861185"
"Yes","2018","35-65 y.","no migration background","4383","0.741387770284892","0.730307358556812","0.752468182012972"
"Yes","2018","35-65 y.","direct migration background","851","0.735597043055167","0.710799246461713","0.760394839648621"
"Yes","2018","35-65 y.","indirect migration background","293","0.829313798953552","0.791335451101992","0.867292146805113"
"Yes","2018","66 and older","no migration background","31","0.571198978126082","0.447003784114184","0.69539417213798"
"Yes","2018","66 and older","direct migration background","3","","",""
"Yes","2018","66 and older","indirect migration background","1","","",""
"No","2018","16-34 y.","no migration background","392","0.220368174978628","0.20080799897454","0.239928350982716"
"No","2018","16-34 y.","direct migration background","159","0.235265230405458","0.200413347197048","0.270117113613868"
"No","2018","16-34 y.","indirect migration background","75","0.247395025317553","0.197473693138815","0.297316357496291"
"No","2018","35-65 y.","no migration background","1616","0.258612229715108","0.247531817987028","0.269692641443188"
"No","2018","35-65 y.","direct migration background","364","0.264402956944833","0.239605160351379","0.289200753538287"
"No","2018","35-65 y.","indirect migration background","84","0.170686201046448","0.132707853194887","0.208664548898008"
"No","2018","66 and older","no migration background","30","0.428801021873918","0.30460582786202","0.552996215885816"
"No","2018","66 and older","direct migration background","6","","",""
"No","2018","66 and older","indirect migration background","","","",""
"Yes","2019","16-34 y.","no migration background","1223","0.791199190022421","0.771068381468603","0.811329998576239"
"Yes","2019","16-34 y.","direct migration background","331","0.791993569279738","0.75494283350519","0.829044305054286"
"Yes","2019","16-34 y.","indirect migration background","189","0.735584463070717","0.681665530194504","0.789503395946929"
"Yes","2019","35-65 y.","no migration background","4222","0.762945979947286","0.751746368254914","0.774145591639659"
"Yes","2019","35-65 y.","direct migration background","765","0.75671245437292","0.73055995495332","0.782864953792519"
"Yes","2019","35-65 y.","indirect migration background","260","0.746607504295358","0.70090904913834","0.792305959452377"
"Yes","2019","66 and older","no migration background","49","0.797601896272965","0.704144166919529","0.891059625626402"
"Yes","2019","66 and older","direct migration background","5","","",""
"Yes","2019","66 and older","indirect migration background","2","","",""
"No","2019","16-34 y.","no migration background","343","0.208800809977579","0.188670001423761","0.228931618531397"
"No","2019","16-34 y.","direct migration background","130","0.208006430720262","0.170955694945714","0.24505716649481"
"No","2019","16-34 y.","indirect migration background","68","0.264415536929283","0.210496604053071","0.318334469805496"
"No","2019","35-65 y.","no migration background","1317","0.237054020052714","0.225854408360341","0.248253631745086"
"No","2019","35-65 y.","direct migration background","269","0.24328754562708","0.217135046207481","0.26944004504668"
"No","2019","35-65 y.","indirect migration background","88","0.253392495704642","0.207694040547623","0.29909095086166"
"No","2019","66 and older","no migration background","22","","",""
"No","2019","66 and older","direct migration background","4","","",""
"No","2019","66 and older","indirect migration background","","","",""
