"transab_cat2","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1992","Not Employed","inadequately","23","","",""
"Low transfer dependency","1992","Not Employed","general elemantary","60","0.030377784687983","0.0209646998961033","0.0397908694798627"
"Low transfer dependency","1992","Not Employed","middle vocational","115","0.0314101713122546","0.0236465509381415","0.0391737916863677"
"Low transfer dependency","1992","Not Employed","vocational + Abi","13","","",""
"Low transfer dependency","1992","Not Employed","higher vocational","3","","",""
"Low transfer dependency","1992","Not Employed","higher education","22","","",""
"Low transfer dependency","1992","Employed","in school","1","","",""
"Low transfer dependency","1992","Employed","inadequately","18","","",""
"Low transfer dependency","1992","Employed","general elemantary","56","0.0321609747500619","0.0232945271776095","0.0410274223225143"
"Low transfer dependency","1992","Employed","middle vocational","226","0.0356552158014067","0.0304001809188355","0.0409102506839779"
"Low transfer dependency","1992","Employed","vocational + Abi","13","","",""
"Low transfer dependency","1992","Employed","higher vocational","16","","",""
"Low transfer dependency","1992","Employed","higher education","59","0.0308723551484397","0.0217297047383895","0.04001500555849"
"High transfer dependency","1992","Not Employed","in school","1","","",""
"High transfer dependency","1992","Not Employed","inadequately","7","","",""
"High transfer dependency","1992","Not Employed","general elemantary","25","","",""
"High transfer dependency","1992","Not Employed","middle vocational","40","0.0162981043855381","0.0106622535752796","0.0219339551957965"
"High transfer dependency","1992","Not Employed","vocational + Abi","1","","",""
"High transfer dependency","1992","Not Employed","higher vocational","3","","",""
"High transfer dependency","1992","Not Employed","higher education","7","","",""
"High transfer dependency","1992","Employed","in school","","","",""
"High transfer dependency","1992","Employed","inadequately","6","","",""
"High transfer dependency","1992","Employed","general elemantary","20","","",""
"High transfer dependency","1992","Employed","middle vocational","31","0.0054503201898301","0.00336380212182804","0.00753683825783216"
"High transfer dependency","1992","Employed","vocational + Abi","5","","",""
"High transfer dependency","1992","Employed","higher vocational","4","","",""
"High transfer dependency","1992","Employed","higher education","13","","",""
"Very high transfer dependency","1992","Not Employed","in school","5","","",""
"Very high transfer dependency","1992","Not Employed","inadequately","15","","",""
"Very high transfer dependency","1992","Not Employed","general elemantary","39","0.0280819655361449","0.0190208594773311","0.0371430715949587"
"Very high transfer dependency","1992","Not Employed","middle vocational","51","0.0288902720774808","0.0214349028851233","0.0363456412698382"
"Very high transfer dependency","1992","Not Employed","vocational + Abi","12","","",""
"Very high transfer dependency","1992","Not Employed","higher vocational","3","","",""
"Very high transfer dependency","1992","Not Employed","higher education","5","","",""
"Very high transfer dependency","1992","Employed","in school","1","","",""
"Very high transfer dependency","1992","Employed","inadequately","2","","",""
"Very high transfer dependency","1992","Employed","general elemantary","9","","",""
"Very high transfer dependency","1992","Employed","middle vocational","6","","",""
"Very high transfer dependency","1992","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1992","Employed","higher vocational","2","","",""
"Very high transfer dependency","1992","Employed","higher education","2","","",""
"Very low transfer dependency","1993","Not Employed","in school","150","0.928441789096812","0.889348975180724","0.967534603012901"
"Very low transfer dependency","1993","Not Employed","inadequately","230","0.764783639021115","0.715714300864963","0.813852977177267"
"Very low transfer dependency","1993","Not Employed","general elemantary","1096","0.919349232148561","0.904199438677534","0.934499025619588"
"Very low transfer dependency","1993","Not Employed","middle vocational","1749","0.894851463761508","0.88163729009022","0.908065637432796"
"Very low transfer dependency","1993","Not Employed","vocational + Abi","74","0.895053264883166","0.832082886704889","0.958023643061442"
"Very low transfer dependency","1993","Not Employed","higher vocational","164","0.947761849371557","0.914700774052357","0.980822924690757"
"Very low transfer dependency","1993","Not Employed","higher education","273","0.905863334996776","0.873967725884898","0.937758944108654"
"Very low transfer dependency","1993","Employed","in school","19","","",""
"Very low transfer dependency","1993","Employed","inadequately","306","0.952190162448624","0.928957656069696","0.975422668827552"
"Very low transfer dependency","1993","Employed","general elemantary","1350","0.938502480911738","0.926107055511699","0.950897906311778"
"Very low transfer dependency","1993","Employed","middle vocational","4264","0.946995256002303","0.940516615706066","0.95347389629854"
"Very low transfer dependency","1993","Employed","vocational + Abi","271","0.953670057757561","0.929519256190037","0.977820859325084"
"Very low transfer dependency","1993","Employed","higher vocational","534","0.966032569127933","0.951135488868239","0.980929649387627"
"Very low transfer dependency","1993","Employed","higher education","1244","0.962629762814525","0.952347164586268","0.972912361042781"
"Low transfer dependency","1993","Not Employed","in school","13","","",""
"Low transfer dependency","1993","Not Employed","inadequately","23","","",""
"Low transfer dependency","1993","Not Employed","general elemantary","79","0.034082360960529","0.0239875757076643","0.0441771462133936"
"Low transfer dependency","1993","Not Employed","middle vocational","187","0.0511238490902238","0.0416357446619168","0.0606119535185309"
"Low transfer dependency","1993","Not Employed","vocational + Abi","9","","",""
"Low transfer dependency","1993","Not Employed","higher vocational","8","","",""
"Low transfer dependency","1993","Not Employed","higher education","29","","",""
"Low transfer dependency","1993","Employed","in school","","","",""
"Low transfer dependency","1993","Employed","inadequately","12","","",""
"Low transfer dependency","1993","Employed","general elemantary","63","0.0438460478714851","0.0332816666504665","0.0544104290925037"
"Low transfer dependency","1993","Employed","middle vocational","261","0.0390215669311629","0.033421905510909","0.0446212283514168"
"Low transfer dependency","1993","Employed","vocational + Abi","12","","",""
"Low transfer dependency","1993","Employed","higher vocational","30","0.028255724944955","0.0146286342723677","0.0418828156175423"
"Low transfer dependency","1993","Employed","higher education","47","0.0276076081932649","0.018724898579728","0.0364903178068019"
"High transfer dependency","1993","Not Employed","in school","3","","",""
"High transfer dependency","1993","Not Employed","inadequately","13","","",""
"High transfer dependency","1993","Not Employed","general elemantary","26","","",""
"High transfer dependency","1993","Not Employed","middle vocational","49","0.0178602374674251","0.0121547444291572","0.023565730505693"
"High transfer dependency","1993","Not Employed","vocational + Abi","1","","",""
"High transfer dependency","1993","Not Employed","higher vocational","","","",""
"High transfer dependency","1993","Not Employed","higher education","11","","",""
"High transfer dependency","1993","Employed","in school","","","",""
"High transfer dependency","1993","Employed","inadequately","6","","",""
"High transfer dependency","1993","Employed","general elemantary","19","","",""
"High transfer dependency","1993","Employed","middle vocational","55","0.0117088997641919","0.00859823591591851","0.0148195636124652"
"High transfer dependency","1993","Employed","vocational + Abi","7","","",""
"High transfer dependency","1993","Employed","higher vocational","3","","",""
"High transfer dependency","1993","Employed","higher education","13","","",""
"Very high transfer dependency","1993","Not Employed","in school","1","","",""
"Very high transfer dependency","1993","Not Employed","inadequately","21","","",""
"Very high transfer dependency","1993","Not Employed","general elemantary","40","0.0315630613167747","0.0218358705575346","0.0412902520760148"
"Very high transfer dependency","1993","Not Employed","middle vocational","85","0.0361644496808428","0.0281216857958729","0.0442072135658126"
"Very high transfer dependency","1993","Not Employed","vocational + Abi","7","","",""
"Very high transfer dependency","1993","Not Employed","higher vocational","2","","",""
"Very high transfer dependency","1993","Not Employed","higher education","9","","",""
"Very high transfer dependency","1993","Employed","in school","","","",""
"Very high transfer dependency","1993","Employed","inadequately","","","",""
"Very high transfer dependency","1993","Employed","general elemantary","11","","",""
"Very high transfer dependency","1993","Employed","middle vocational","14","","",""
"Very high transfer dependency","1993","Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1993","Employed","higher vocational","1","","",""
"Very high transfer dependency","1993","Employed","higher education","3","","",""
"Very low transfer dependency","1994","Not Employed","in school","200","0.919762997845617","0.884107954113948","0.955418041577286"
"Very low transfer dependency","1994","Not Employed","inadequately","202","0.72818027863308","0.673467197744309","0.78289335952185"
"Very low transfer dependency","1994","Not Employed","general elemantary","1060","0.923076289646635","0.908024651902377","0.938127927390893"
"Very low transfer dependency","1994","Not Employed","middle vocational","1814","0.889205635510427","0.875959690216451","0.902451580804404"
"Very low transfer dependency","1994","Not Employed","vocational + Abi","79","0.749096810392731","0.666952352610372","0.83124126817509"
"Very low transfer dependency","1994","Not Employed","higher vocational","181","0.935400584480314","0.901332618415878","0.96946855054475"
"Very low transfer dependency","1994","Not Employed","higher education","295","0.89194076424704","0.859181246811137","0.924700281682943"
"Very low transfer dependency","1994","Employed","in school","15","","",""
"Very low transfer dependency","1994","Employed","inadequately","290","0.96883359496426","0.949267924847811","0.988399265080708"
"Very low transfer dependency","1994","Employed","general elemantary","1191","0.920844500541416","0.906179695454059","0.935509305628774"
"Very low transfer dependency","1994","Employed","middle vocational","4078","0.940778617550813","0.933798697004424","0.947758538097202"
"Very low transfer dependency","1994","Employed","vocational + Abi","265","0.947232934390694","0.921231411344678","0.97323445743671"
"Very low transfer dependency","1994","Employed","higher vocational","524","0.962533677759625","0.946734659595057","0.978332695924193"
"Very low transfer dependency","1994","Employed","higher education","1242","0.962831405203135","0.952567656031106","0.973095154375163"
"Low transfer dependency","1994","Not Employed","in school","12","","",""
"Low transfer dependency","1994","Not Employed","inadequately","24","","",""
"Low transfer dependency","1994","Not Employed","general elemantary","66","0.0256650083310931","0.0167327823444494","0.0345972343177368"
"Low transfer dependency","1994","Not Employed","middle vocational","191","0.0504016221976971","0.0411692084758404","0.0596340359195537"
"Low transfer dependency","1994","Not Employed","vocational + Abi","16","","",""
"Low transfer dependency","1994","Not Employed","higher vocational","12","","",""
"Low transfer dependency","1994","Not Employed","higher education","25","","",""
"Low transfer dependency","1994","Employed","in school","2","","",""
"Low transfer dependency","1994","Employed","inadequately","10","","",""
"Low transfer dependency","1994","Employed","general elemantary","77","0.0486588687598647","0.0369721729544842","0.0603455645652452"
"Low transfer dependency","1994","Employed","middle vocational","241","0.0412029471032879","0.0353254154731944","0.0470804787333814"
"Low transfer dependency","1994","Employed","vocational + Abi","15","","",""
"Low transfer dependency","1994","Employed","higher vocational","25","","",""
"Low transfer dependency","1994","Employed","higher education","49","0.0257292095764854","0.0171391554861617","0.034319263666809"
"High transfer dependency","1994","Not Employed","in school","6","","",""
"High transfer dependency","1994","Not Employed","inadequately","10","","",""
"High transfer dependency","1994","Not Employed","general elemantary","31","0.0187229752813309","0.0110666902212146","0.0263792603414472"
"High transfer dependency","1994","Not Employed","middle vocational","57","0.0192313651633735","0.013435592262737","0.02502713806401"
"High transfer dependency","1994","Not Employed","vocational + Abi","5","","",""
"High transfer dependency","1994","Not Employed","higher vocational","3","","",""
"High transfer dependency","1994","Not Employed","higher education","14","","",""
"High transfer dependency","1994","Employed","in school","","","",""
"High transfer dependency","1994","Employed","inadequately","3","","",""
"High transfer dependency","1994","Employed","general elemantary","22","","",""
"High transfer dependency","1994","Employed","middle vocational","55","0.0110612845466769","0.00796846229529688","0.014154106798057"
"High transfer dependency","1994","Employed","vocational + Abi","1","","",""
"High transfer dependency","1994","Employed","higher vocational","6","","",""
"High transfer dependency","1994","Employed","higher education","12","","",""
"Very high transfer dependency","1994","Not Employed","in school","5","","",""
"Very high transfer dependency","1994","Not Employed","inadequately","18","","",""
"Very high transfer dependency","1994","Not Employed","general elemantary","47","0.0325357267409411","0.0225142304139908","0.0425572230678913"
"Very high transfer dependency","1994","Not Employed","middle vocational","95","0.041161377128502","0.03277758066134","0.0495451735956641"
"Very high transfer dependency","1994","Not Employed","vocational + Abi","7","","",""
"Very high transfer dependency","1994","Not Employed","higher vocational","4","","",""
"Very high transfer dependency","1994","Not Employed","higher education","11","","",""
"Very high transfer dependency","1994","Employed","in school","","","",""
"Very high transfer dependency","1994","Employed","inadequately","","","",""
"Very high transfer dependency","1994","Employed","general elemantary","12","","",""
"Very high transfer dependency","1994","Employed","middle vocational","19","","",""
"Very high transfer dependency","1994","Employed","vocational + Abi","3","","",""
"Very high transfer dependency","1994","Employed","higher vocational","","","",""
"Very high transfer dependency","1994","Employed","higher education","2","","",""
"Very low transfer dependency","1995","Not Employed","in school","242","0.893563511485895","0.857047713840146","0.930079309131645"
"Very low transfer dependency","1995","Not Employed","inadequately","195","0.690867029006709","0.634476244648933","0.747257813364485"
"Very low transfer dependency","1995","Not Employed","general elemantary","1053","0.892976861183048","0.875756323261843","0.910197399104253"
"Very low transfer dependency","1995","Not Employed","middle vocational","1871","0.879790024793438","0.866304548894388","0.893275500692488"
"Very low transfer dependency","1995","Not Employed","vocational + Abi","91","0.69276414693895","0.612841151014497","0.772687142863404"
"Very low transfer dependency","1995","Not Employed","higher vocational","165","0.899835571277203","0.857147195752653","0.942523946801753"
"Very low transfer dependency","1995","Not Employed","higher education","307","0.867823245392103","0.833078043435089","0.902568447349117"
"Very low transfer dependency","1995","Employed","in school","9","","",""
"Very low transfer dependency","1995","Employed","inadequately","257","0.939386928871829","0.911184458919077","0.967589398824581"
"Very low transfer dependency","1995","Employed","general elemantary","1153","0.917453577110937","0.902246387931911","0.932660766289963"
"Very low transfer dependency","1995","Employed","middle vocational","4162","0.939954096371565","0.932993497831463","0.946914694911667"
"Very low transfer dependency","1995","Employed","vocational + Abi","322","0.940622733530235","0.915828355805761","0.965417111254708"
"Very low transfer dependency","1995","Employed","higher vocational","548","0.973529749713991","0.960374360117277","0.986685139310704"
"Very low transfer dependency","1995","Employed","higher education","1335","0.969099525140099","0.959999056964736","0.978199993315462"
"Low transfer dependency","1995","Not Employed","in school","15","","",""
"Low transfer dependency","1995","Not Employed","inadequately","24","","",""
"Low transfer dependency","1995","Not Employed","general elemantary","72","0.0338433398630915","0.0237705876094259","0.0439160921167571"
"Low transfer dependency","1995","Not Employed","middle vocational","183","0.049679327749654","0.0406692310893718","0.0586894244099362"
"Low transfer dependency","1995","Not Employed","vocational + Abi","13","","",""
"Low transfer dependency","1995","Not Employed","higher vocational","9","","",""
"Low transfer dependency","1995","Not Employed","higher education","23","","",""
"Low transfer dependency","1995","Employed","in school","1","","",""
"Low transfer dependency","1995","Employed","inadequately","13","","",""
"Low transfer dependency","1995","Employed","general elemantary","73","0.0552734909911057","0.042645935990686","0.0679010459915254"
"Low transfer dependency","1995","Employed","middle vocational","236","0.0445131315985919","0.0384707519762638","0.05055551122092"
"Low transfer dependency","1995","Employed","vocational + Abi","20","","",""
"Low transfer dependency","1995","Employed","higher vocational","18","","",""
"Low transfer dependency","1995","Employed","higher education","45","0.0263000686231209","0.0178844125491241","0.0347157246971178"
"High transfer dependency","1995","Not Employed","in school","9","","",""
"High transfer dependency","1995","Not Employed","inadequately","17","","",""
"High transfer dependency","1995","Not Employed","general elemantary","41","0.0278023611209357","0.0186442504026442","0.0369604718392272"
"High transfer dependency","1995","Not Employed","middle vocational","58","0.0202285559164305","0.0143907273739661","0.0260663844588949"
"High transfer dependency","1995","Not Employed","vocational + Abi","6","","",""
"High transfer dependency","1995","Not Employed","higher vocational","1","","",""
"High transfer dependency","1995","Not Employed","higher education","9","","",""
"High transfer dependency","1995","Employed","in school","","","",""
"High transfer dependency","1995","Employed","inadequately","3","","",""
"High transfer dependency","1995","Employed","general elemantary","22","","",""
"High transfer dependency","1995","Employed","middle vocational","61","0.012288221737968","0.00906038762343414","0.0155160558525018"
"High transfer dependency","1995","Employed","vocational + Abi","4","","",""
"High transfer dependency","1995","Employed","higher vocational","2","","",""
"High transfer dependency","1995","Employed","higher education","5","","",""
"Very high transfer dependency","1995","Not Employed","in school","8","","",""
"Very high transfer dependency","1995","Not Employed","inadequately","22","","",""
"Very high transfer dependency","1995","Not Employed","general elemantary","72","0.0453774378329245","0.0337836966453129","0.0569711790205361"
"Very high transfer dependency","1995","Not Employed","middle vocational","122","0.0503020915404773","0.0412386681326229","0.0593655149483316"
"Very high transfer dependency","1995","Not Employed","vocational + Abi","18","","",""
"Very high transfer dependency","1995","Not Employed","higher vocational","15","","",""
"Very high transfer dependency","1995","Not Employed","higher education","26","","",""
"Very high transfer dependency","1995","Employed","in school","","","",""
"Very high transfer dependency","1995","Employed","inadequately","2","","",""
"Very high transfer dependency","1995","Employed","general elemantary","10","","",""
"Very high transfer dependency","1995","Employed","middle vocational","16","","",""
"Very high transfer dependency","1995","Employed","vocational + Abi","3","","",""
"Very high transfer dependency","1995","Employed","higher vocational","4","","",""
"Very high transfer dependency","1995","Employed","higher education","4","","",""
"Very low transfer dependency","1996","Not Employed","in school","246","0.921685692442507","0.88987414549464","0.953497239390374"
"Very low transfer dependency","1996","Not Employed","inadequately","168","0.653786702481667","0.593968292083236","0.713605112880098"
"Very low transfer dependency","1996","Not Employed","general elemantary","987","0.885408555810849","0.867288034610876","0.903529077010822"
"Very low transfer dependency","1996","Not Employed","middle vocational","1757","0.856971928333762","0.842241608933288","0.871702247734236"
"Very low transfer dependency","1996","Not Employed","vocational + Abi","90","0.749879867877174","0.670726510138914","0.829033225615434"
"Very low transfer dependency","1996","Not Employed","higher vocational","146","0.851602227411621","0.799230904628051","0.90397355019519"
"Very low transfer dependency","1996","Not Employed","higher education","279","0.854799884279893","0.817891096854247","0.891708671705539"
"Very low transfer dependency","1996","Employed","in school","16","","",""
"Very low transfer dependency","1996","Employed","inadequately","226","0.908771496887773","0.872935880932342","0.944607112843204"
"Very low transfer dependency","1996","Employed","general elemantary","1075","0.904013673497091","0.887353912274745","0.920673434719437"
"Very low transfer dependency","1996","Employed","middle vocational","4101","0.940405300397945","0.933432525637515","0.947378075158376"
"Very low transfer dependency","1996","Employed","vocational + Abi","336","0.945123668046823","0.921499809161996","0.96874752693165"
"Very low transfer dependency","1996","Employed","higher vocational","565","0.957602977793842","0.941302908087634","0.973903047500051"
"Very low transfer dependency","1996","Employed","higher education","1351","0.967289883740007","0.958008687596546","0.976571079883468"
"Low transfer dependency","1996","Not Employed","in school","11","","",""
"Low transfer dependency","1996","Not Employed","inadequately","32","0.106642746346417","0.0678345732549281","0.145450919437906"
"Low transfer dependency","1996","Not Employed","general elemantary","92","0.0482899234697206","0.0360943191939627","0.0604855277454784"
"Low transfer dependency","1996","Not Employed","middle vocational","198","0.0609322594026838","0.050867802926736","0.0709967158786316"
"Low transfer dependency","1996","Not Employed","vocational + Abi","12","","",""
"Low transfer dependency","1996","Not Employed","higher vocational","10","","",""
"Low transfer dependency","1996","Not Employed","higher education","37","0.0681035826125485","0.0417109404663398","0.0944962247587573"
"Low transfer dependency","1996","Employed","in school","1","","",""
"Low transfer dependency","1996","Employed","inadequately","17","","",""
"Low transfer dependency","1996","Employed","general elemantary","83","0.0670255098606147","0.0528828357161713","0.0811681840050582"
"Low transfer dependency","1996","Employed","middle vocational","235","0.0413478145309225","0.03548371817197","0.0472119108898751"
"Low transfer dependency","1996","Employed","vocational + Abi","18","","",""
"Low transfer dependency","1996","Employed","higher vocational","19","","",""
"Low transfer dependency","1996","Employed","higher education","50","0.02472213630048","0.0166201451241689","0.0328241274767911"
"High transfer dependency","1996","Not Employed","in school","6","","",""
"High transfer dependency","1996","Not Employed","inadequately","15","","",""
"High transfer dependency","1996","Not Employed","general elemantary","40","0.0252406402143652","0.0163174197791341","0.0341638606495964"
"High transfer dependency","1996","Not Employed","middle vocational","86","0.0291798451753431","0.0220982824269025","0.0362614079237836"
"High transfer dependency","1996","Not Employed","vocational + Abi","2","","",""
"High transfer dependency","1996","Not Employed","higher vocational","8","","",""
"High transfer dependency","1996","Not Employed","higher education","11","","",""
"High transfer dependency","1996","Employed","in school","","","",""
"High transfer dependency","1996","Employed","inadequately","2","","",""
"High transfer dependency","1996","Employed","general elemantary","32","0.0213322328529997","0.013160533358199","0.0295039323478005"
"High transfer dependency","1996","Employed","middle vocational","82","0.0169645498556193","0.0131609042589802","0.0207681954522585"
"High transfer dependency","1996","Employed","vocational + Abi","3","","",""
"High transfer dependency","1996","Employed","higher vocational","2","","",""
"High transfer dependency","1996","Employed","higher education","5","","",""
"Very high transfer dependency","1996","Not Employed","in school","11","","",""
"Very high transfer dependency","1996","Not Employed","inadequately","28","","",""
"Very high transfer dependency","1996","Not Employed","general elemantary","68","0.0410608805050651","0.029772480805563","0.0523492802045673"
"Very high transfer dependency","1996","Not Employed","middle vocational","129","0.0529159670882113","0.0434969442411576","0.0623349899352651"
"Very high transfer dependency","1996","Not Employed","vocational + Abi","11","","",""
"Very high transfer dependency","1996","Not Employed","higher vocational","13","","",""
"Very high transfer dependency","1996","Not Employed","higher education","23","","",""
"Very high transfer dependency","1996","Employed","in school","","","",""
"Very high transfer dependency","1996","Employed","inadequately","3","","",""
"Very high transfer dependency","1996","Employed","general elemantary","11","","",""
"Very high transfer dependency","1996","Employed","middle vocational","10","","",""
"Very high transfer dependency","1996","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1996","Employed","higher vocational","1","","",""
"Very high transfer dependency","1996","Employed","higher education","5","","",""
"Very low transfer dependency","1997","Not Employed","in school","267","0.886904733865917","0.851006490555753","0.922802977176082"
"Very low transfer dependency","1997","Not Employed","inadequately","170","0.656191398542287","0.596715818758324","0.715666978326249"
"Very low transfer dependency","1997","Not Employed","general elemantary","969","0.854710856341766","0.834747791932926","0.874673920750607"
"Very low transfer dependency","1997","Not Employed","middle vocational","1770","0.842620632576272","0.827427865952479","0.857813399200066"
"Very low transfer dependency","1997","Not Employed","vocational + Abi","80","0.693933343217171","0.60970348715894","0.778163199275403"
"Very low transfer dependency","1997","Not Employed","higher vocational","154","0.877718182222512","0.829724942647804","0.925711421797219"
"Very low transfer dependency","1997","Not Employed","higher education","281","0.829024094720653","0.790133205506532","0.867914983934774"
"Very low transfer dependency","1997","Employed","in school","12","","",""
"Very low transfer dependency","1997","Employed","inadequately","191","0.864652000357795","0.819344236361016","0.909959764354574"
"Very low transfer dependency","1997","Employed","general elemantary","992","0.889013992166587","0.87072366182548","0.907304322507695"
"Very low transfer dependency","1997","Employed","middle vocational","3833","0.915211902008617","0.906832027404429","0.923591776612805"
"Very low transfer dependency","1997","Employed","vocational + Abi","314","0.894494272795437","0.861888259502924","0.92710028608795"
"Very low transfer dependency","1997","Employed","higher vocational","547","0.949544970624543","0.931669937721043","0.967420003528042"
"Very low transfer dependency","1997","Employed","higher education","1334","0.961770138368526","0.951743694280739","0.971796582456312"
"Low transfer dependency","1997","Not Employed","in school","19","","",""
"Low transfer dependency","1997","Not Employed","inadequately","41","0.165808158102439","0.119238723475666","0.212377592729213"
"Low transfer dependency","1997","Not Employed","general elemantary","101","0.0532631097803002","0.0405418850321876","0.0659843345284129"
"Low transfer dependency","1997","Not Employed","middle vocational","204","0.0640746022977948","0.0538579056074068","0.0742912989881827"
"Low transfer dependency","1997","Not Employed","vocational + Abi","17","","",""
"Low transfer dependency","1997","Not Employed","higher vocational","16","","",""
"Low transfer dependency","1997","Not Employed","higher education","39","0.0778451763492887","0.0501684566605185","0.105521896038059"
"Low transfer dependency","1997","Employed","in school","","","",""
"Low transfer dependency","1997","Employed","inadequately","18","","",""
"Low transfer dependency","1997","Employed","general elemantary","96","0.0716422973896023","0.0566255608727198","0.0866590339064847"
"Low transfer dependency","1997","Employed","middle vocational","313","0.0616596815357816","0.0544238229419935","0.0688955401295696"
"Low transfer dependency","1997","Employed","vocational + Abi","21","","",""
"Low transfer dependency","1997","Employed","higher vocational","25","","",""
"Low transfer dependency","1997","Employed","higher education","60","0.0325056446185109","0.0232327880903963","0.0417785011466255"
"High transfer dependency","1997","Not Employed","in school","6","","",""
"High transfer dependency","1997","Not Employed","inadequately","11","","",""
"High transfer dependency","1997","Not Employed","general elemantary","48","0.0400609644502356","0.0289517450907474","0.0511701838097237"
"High transfer dependency","1997","Not Employed","middle vocational","91","0.0308435882539252","0.0236304158992277","0.0380567606086226"
"High transfer dependency","1997","Not Employed","vocational + Abi","7","","",""
"High transfer dependency","1997","Not Employed","higher vocational","4","","",""
"High transfer dependency","1997","Not Employed","higher education","18","","",""
"High transfer dependency","1997","Employed","in school","","","",""
"High transfer dependency","1997","Employed","inadequately","6","","",""
"High transfer dependency","1997","Employed","general elemantary","32","0.0279561137273268","0.0183573683398051","0.0375548591148485"
"High transfer dependency","1997","Employed","middle vocational","72","0.0179803547268325","0.0139830389337425","0.0219776705199224"
"High transfer dependency","1997","Employed","vocational + Abi","5","","",""
"High transfer dependency","1997","Employed","higher vocational","4","","",""
"High transfer dependency","1997","Employed","higher education","10","","",""
"Very high transfer dependency","1997","Not Employed","in school","7","","",""
"Very high transfer dependency","1997","Not Employed","inadequately","23","","",""
"Very high transfer dependency","1997","Not Employed","general elemantary","79","0.051965069427698","0.0393912001371662","0.0645389387182298"
"Very high transfer dependency","1997","Not Employed","middle vocational","142","0.0624611768720076","0.052365239770722","0.0725571139732932"
"Very high transfer dependency","1997","Not Employed","vocational + Abi","11","","",""
"Very high transfer dependency","1997","Not Employed","higher vocational","5","","",""
"Very high transfer dependency","1997","Not Employed","higher education","22","","",""
"Very high transfer dependency","1997","Employed","in school","1","","",""
"Very high transfer dependency","1997","Employed","inadequately","4","","",""
"Very high transfer dependency","1997","Employed","general elemantary","13","","",""
"Very high transfer dependency","1997","Employed","middle vocational","27","","",""
"Very high transfer dependency","1997","Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1997","Employed","higher vocational","","","",""
"Very high transfer dependency","1997","Employed","higher education","1","","",""
"Very low transfer dependency","1998","Not Employed","in school","274","0.873964296721419","0.83731324392146","0.910615349521378"
"Very low transfer dependency","1998","Not Employed","inadequately","167","0.684083602172366","0.624772941180976","0.743394263163756"
"Very low transfer dependency","1998","Not Employed","general elemantary","1120","0.875787365503023","0.858173830877399","0.893400900128648"
"Very low transfer dependency","1998","Not Employed","middle vocational","1993","0.841924096497634","0.827597912213107","0.85625028078216"
"Very low transfer dependency","1998","Not Employed","vocational + Abi","84","0.673909932352067","0.591730564056638","0.756089300647497"
"Very low transfer dependency","1998","Not Employed","higher vocational","185","0.90641714697783","0.866548329236305","0.946285964719356"
"Very low transfer dependency","1998","Not Employed","higher education","338","0.837197508899347","0.802139457120164","0.872255560678531"
"Very low transfer dependency","1998","Employed","in school","14","","",""
"Very low transfer dependency","1998","Employed","inadequately","179","0.865081129444322","0.818874614749763","0.911287644138881"
"Very low transfer dependency","1998","Employed","general elemantary","1064","0.914330880128307","0.89845602487723","0.930205735379384"
"Very low transfer dependency","1998","Employed","middle vocational","4118","0.92272458544664","0.914930508459382","0.930518662433897"
"Very low transfer dependency","1998","Employed","vocational + Abi","359","0.935135060331117","0.910469505825415","0.95980061483682"
"Very low transfer dependency","1998","Employed","higher vocational","582","0.944659106740438","0.926603238571792","0.962714974909084"
"Very low transfer dependency","1998","Employed","higher education","1437","0.948228293300769","0.937137063349417","0.95931952325212"
"Low transfer dependency","1998","Not Employed","in school","18","","",""
"Low transfer dependency","1998","Not Employed","inadequately","31","0.126324899608116","0.0839399618534186","0.168709837362813"
"Low transfer dependency","1998","Not Employed","general elemantary","113","0.0518364303282184","0.0399972000225537","0.0636756606338832"
"Low transfer dependency","1998","Not Employed","middle vocational","248","0.0650850360764195","0.0553980682409849","0.0747720039118542"
"Low transfer dependency","1998","Not Employed","vocational + Abi","20","","",""
"Low transfer dependency","1998","Not Employed","higher vocational","10","","",""
"Low transfer dependency","1998","Not Employed","higher education","52","0.0857027181983563","0.0591209232206196","0.112284513176093"
"Low transfer dependency","1998","Employed","in school","2","","",""
"Low transfer dependency","1998","Employed","inadequately","17","","",""
"Low transfer dependency","1998","Employed","general elemantary","87","0.0573494672075734","0.0441612533775364","0.0705376810376104"
"Low transfer dependency","1998","Employed","middle vocational","299","0.0578010797511098","0.0509895093423012","0.0646126501599184"
"Low transfer dependency","1998","Employed","vocational + Abi","17","","",""
"Low transfer dependency","1998","Employed","higher vocational","22","","",""
"Low transfer dependency","1998","Employed","higher education","72","0.0365831917086153","0.0271854193802846","0.0459809640369459"
"High transfer dependency","1998","Not Employed","in school","9","","",""
"High transfer dependency","1998","Not Employed","inadequately","11","","",""
"High transfer dependency","1998","Not Employed","general elemantary","37","0.0208715728758406","0.0132374048872884","0.0285057408643927"
"High transfer dependency","1998","Not Employed","middle vocational","85","0.0247574671023835","0.0186554889346922","0.0308594452700747"
"High transfer dependency","1998","Not Employed","vocational + Abi","8","","",""
"High transfer dependency","1998","Not Employed","higher vocational","5","","",""
"High transfer dependency","1998","Not Employed","higher education","10","","",""
