"plb0037_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Limited","1995","no migration background","general elemantary","189","0.272023325763418","0.235931947073063","0.308114704453773"
"Limited","1995","no migration background","middle vocational","315","0.0949889199858649","0.0847156492715611","0.105262190700169"
"Limited","1995","no migration background","vocational + Abi","22","","",""
"Limited","1995","no migration background","higher vocational","15","","",""
"Limited","1995","no migration background","higher education","121","0.118571306877295","0.0991827332602987","0.137959880494292"
"Limited","1995","direct migration background","in school","1","","",""
"Limited","1995","direct migration background","inadequately","15","","",""
"Limited","1995","direct migration background","general elemantary","45","0.126321980321538","0.093846900140082","0.158797060502994"
"Limited","1995","direct migration background","middle vocational","52","0.106592782647953","0.0812590436807599","0.131926521615145"
"Limited","1995","direct migration background","vocational + Abi","7","","",""
"Limited","1995","direct migration background","higher vocational","","","",""
"Limited","1995","direct migration background","higher education","17","","",""
"Limited","1995","indirect migration background","in school","","","",""
"Limited","1995","indirect migration background","inadequately","2","","",""
"Limited","1995","indirect migration background","general elemantary","52","0.559714438740131","0.46430707444684","0.655121803033422"
"Limited","1995","indirect migration background","middle vocational","26","","",""
"Limited","1995","indirect migration background","vocational + Abi","1","","",""
"Limited","1995","indirect migration background","higher vocational","2","","",""
"Limited","1995","indirect migration background","higher education","2","","",""
"Permanent","1996","no migration background","in school","5","","",""
"Permanent","1996","no migration background","inadequately","21","","",""
"Permanent","1996","no migration background","general elemantary","367","0.721961968333566","0.684721086339043","0.759202850328089"
"Permanent","1996","no migration background","middle vocational","2782","0.914230025069124","0.904308401184925","0.924151648953323"
"Permanent","1996","no migration background","vocational + Abi","167","0.857095268737074","0.807847667831301","0.906342869642847"
"Permanent","1996","no migration background","higher vocational","387","0.95772863740357","0.938059766722136","0.977397508085003"
"Permanent","1996","no migration background","higher education","941","0.888888531724023","0.869852437534334","0.907924625913711"
"Permanent","1996","direct migration background","in school","1","","",""
"Permanent","1996","direct migration background","inadequately","163","0.87901649701695","0.830700532117705","0.927332461916196"
"Permanent","1996","direct migration background","general elemantary","315","0.840863038558904","0.803180342461599","0.878545734656208"
"Permanent","1996","direct migration background","middle vocational","486","0.906355778316786","0.881506088282098","0.931205468351473"
"Permanent","1996","direct migration background","vocational + Abi","81","0.954465578894269","0.910405130690854","0.998526027097684"
"Permanent","1996","direct migration background","higher vocational","36","0.944419095642203","0.872513784177534","1.01632440710687"
"Permanent","1996","direct migration background","higher education","94","0.895463951843197","0.83666243704763","0.954265466638764"
"Permanent","1996","indirect migration background","in school","","","",""
"Permanent","1996","indirect migration background","inadequately","2","","",""
"Permanent","1996","indirect migration background","general elemantary","45","0.410224122302135","0.311314079815176","0.509134164789093"
"Permanent","1996","indirect migration background","middle vocational","106","0.774742345000464","0.705043276486949","0.84444141351398"
"Permanent","1996","indirect migration background","vocational + Abi","7","","",""
"Permanent","1996","indirect migration background","higher vocational","10","","",""
"Permanent","1996","indirect migration background","higher education","9","","",""
"Limited","1996","no migration background","in school","5","","",""
"Limited","1996","no migration background","inadequately","7","","",""
"Limited","1996","no migration background","general elemantary","189","0.278038031666434","0.240797149671911","0.315278913660957"
"Limited","1996","no migration background","middle vocational","278","0.0857699749308756","0.0758483510466766","0.0956915988150745"
"Limited","1996","no migration background","vocational + Abi","27","","",""
"Limited","1996","no migration background","higher vocational","15","","",""
"Limited","1996","no migration background","higher education","106","0.111111468275977","0.0920753740862889","0.130147562465666"
"Limited","1996","direct migration background","in school","","","",""
"Limited","1996","direct migration background","inadequately","12","","",""
"Limited","1996","direct migration background","general elemantary","47","0.159136961441097","0.121454265343792","0.196819657538401"
"Limited","1996","direct migration background","middle vocational","42","0.0936442216832145","0.0687945316485268","0.118493911717902"
"Limited","1996","direct migration background","vocational + Abi","5","","",""
"Limited","1996","direct migration background","higher vocational","3","","",""
"Limited","1996","direct migration background","higher education","10","","",""
"Limited","1996","indirect migration background","in school","","","",""
"Limited","1996","indirect migration background","inadequately","1","","",""
"Limited","1996","indirect migration background","general elemantary","50","0.589775877697865","0.490865835210907","0.688685920184824"
"Limited","1996","indirect migration background","middle vocational","32","0.225257654999536","0.15555858648602","0.294956723513051"
"Limited","1996","indirect migration background","vocational + Abi","","","",""
"Limited","1996","indirect migration background","higher vocational","3","","",""
"Limited","1996","indirect migration background","higher education","2","","",""
"Permanent","1997","no migration background","in school","3","","",""
"Permanent","1997","no migration background","inadequately","18","","",""
"Permanent","1997","no migration background","general elemantary","318","0.677742228672654","0.637496741953939","0.717987715391369"
"Permanent","1997","no migration background","middle vocational","2626","0.906001920013556","0.895420790368163","0.91658304965895"
"Permanent","1997","no migration background","vocational + Abi","167","0.857960351127952","0.808582079904679","0.907338622351224"
"Permanent","1997","no migration background","higher vocational","383","0.958840190892723","0.93942038631463","0.978259995470816"
"Permanent","1997","no migration background","higher education","922","0.870057141486408","0.849690245458424","0.890424037514392"
"Permanent","1997","direct migration background","in school","1","","",""
"Permanent","1997","direct migration background","inadequately","145","0.884481132823605","0.834321247011348","0.934641018635862"
"Permanent","1997","direct migration background","general elemantary","286","0.835392344743312","0.795322246983232","0.875462442503391"
"Permanent","1997","direct migration background","middle vocational","446","0.905547465425157","0.879573035280782","0.931521895569531"
"Permanent","1997","direct migration background","vocational + Abi","74","0.910115169932113","0.847044720913937","0.973185618950289"
"Permanent","1997","direct migration background","higher vocational","33","0.9147210504947","0.823485919820958","1.00595618116844"
"Permanent","1997","direct migration background","higher education","98","0.840190261666303","0.772925732391226","0.90745479094138"
"Permanent","1997","indirect migration background","in school","1","","",""
"Permanent","1997","indirect migration background","inadequately","3","","",""
"Permanent","1997","indirect migration background","general elemantary","41","0.315576324274584","0.233108811858282","0.398043836690887"
"Permanent","1997","indirect migration background","middle vocational","115","0.774087397295521","0.705062818896615","0.843111975694426"
"Permanent","1997","indirect migration background","vocational + Abi","9","","",""
"Permanent","1997","indirect migration background","higher vocational","8","","",""
"Permanent","1997","indirect migration background","higher education","14","","",""
"Limited","1997","no migration background","in school","7","","",""
"Limited","1997","no migration background","inadequately","3","","",""
"Limited","1997","no migration background","general elemantary","200","0.322257771327346","0.282012284608631","0.362503258046061"
"Limited","1997","no migration background","middle vocational","296","0.0939980799864436","0.0834169503410505","0.104579209631837"
"Limited","1997","no migration background","vocational + Abi","25","","",""
"Limited","1997","no migration background","higher vocational","19","","",""
"Limited","1997","no migration background","higher education","125","0.129942858513592","0.109575962485608","0.150309754541576"
"Limited","1997","direct migration background","in school","","","",""
"Limited","1997","direct migration background","inadequately","11","","",""
"Limited","1997","direct migration background","general elemantary","43","0.164607655256688","0.124537557496609","0.204677753016768"
"Limited","1997","direct migration background","middle vocational","41","0.0944525345748435","0.0684781044304695","0.120426964719218"
"Limited","1997","direct migration background","vocational + Abi","5","","",""
"Limited","1997","direct migration background","higher vocational","3","","",""
"Limited","1997","direct migration background","higher education","16","","",""
"Limited","1997","indirect migration background","in school","","","",""
"Limited","1997","indirect migration background","inadequately","4","","",""
"Limited","1997","indirect migration background","general elemantary","81","0.684423675725416","0.601956163309113","0.766891188141718"
"Limited","1997","indirect migration background","middle vocational","26","","",""
"Limited","1997","indirect migration background","vocational + Abi","3","","",""
"Limited","1997","indirect migration background","higher vocational","","","",""
"Limited","1997","indirect migration background","higher education","2","","",""
"Permanent","1998","no migration background","in school","12","","",""
"Permanent","1998","no migration background","inadequately","25","","",""
"Permanent","1998","no migration background","general elemantary","368","0.692191667487521","0.655226893986571","0.729156440988471"
"Permanent","1998","no migration background","middle vocational","2899","0.903935498504991","0.893738294710883","0.914132702299099"
"Permanent","1998","no migration background","vocational + Abi","206","0.878180966765363","0.83581862747769","0.920543306053037"
"Permanent","1998","no migration background","higher vocational","420","0.934628482638575","0.911841193528634","0.957415771748516"
"Permanent","1998","no migration background","higher education","1024","0.890593081633803","0.872473101521612","0.908713061745994"
"Permanent","1998","direct migration background","in school","","","",""
"Permanent","1998","direct migration background","inadequately","128","0.87301387773246","0.818250197831171","0.927777557633748"
"Permanent","1998","direct migration background","general elemantary","260","0.796913692341329","0.751541414193349","0.842285970489309"
"Permanent","1998","direct migration background","middle vocational","421","0.89863506761417","0.871436059334464","0.925834075893877"
"Permanent","1998","direct migration background","vocational + Abi","78","0.916859073232297","0.858164580665952","0.975553565798641"
"Permanent","1998","direct migration background","higher vocational","32","0.87276395194008","0.759068103495185","0.986459800384974"
"Permanent","1998","direct migration background","higher education","96","0.821693986023811","0.750486664246356","0.892901307801267"
"Permanent","1998","indirect migration background","in school","","","",""
"Permanent","1998","indirect migration background","inadequately","4","","",""
"Permanent","1998","indirect migration background","general elemantary","45","0.366437465762467","0.278754793820823","0.45412013770411"
"Permanent","1998","indirect migration background","middle vocational","115","0.768466599971948","0.699571843735183","0.837361356208713"
"Permanent","1998","indirect migration background","vocational + Abi","8","","",""
"Permanent","1998","indirect migration background","higher vocational","12","","",""
"Permanent","1998","indirect migration background","higher education","15","","",""
"Limited","1998","no migration background","in school","2","","",""
"Limited","1998","no migration background","inadequately","4","","",""
"Limited","1998","no migration background","general elemantary","231","0.307808332512479","0.270843559011529","0.344773106013429"
"Limited","1998","no migration background","middle vocational","309","0.0960645014950091","0.0858672977009006","0.106261705289118"
"Limited","1998","no migration background","vocational + Abi","23","","",""
"Limited","1998","no migration background","higher vocational","32","0.0653715173614249","0.0425842282514836","0.0881588064713662"
"Limited","1998","no migration background","higher education","116","0.109406918366197","0.0912869382540056","0.127526898478388"
"Limited","1998","direct migration background","in school","","","",""
"Limited","1998","direct migration background","inadequately","14","","",""
"Limited","1998","direct migration background","general elemantary","42","0.203086307658671","0.157714029510691","0.248458585806651"
"Limited","1998","direct migration background","middle vocational","52","0.10136493238583","0.0741659241061231","0.128563940665536"
"Limited","1998","direct migration background","vocational + Abi","7","","",""
"Limited","1998","direct migration background","higher vocational","1","","",""
"Limited","1998","direct migration background","higher education","15","","",""
"Limited","1998","indirect migration background","in school","","","",""
"Limited","1998","indirect migration background","inadequately","5","","",""
"Limited","1998","indirect migration background","general elemantary","71","0.633562534237533","0.54587986229589","0.721245206179177"
"Limited","1998","indirect migration background","middle vocational","29","","",""
"Limited","1998","indirect migration background","vocational + Abi","2","","",""
"Limited","1998","indirect migration background","higher vocational","1","","",""
"Limited","1998","indirect migration background","higher education","4","","",""
"Permanent","1999","no migration background","in school","18","","",""
"Permanent","1999","no migration background","inadequately","26","","",""
"Permanent","1999","no migration background","general elemantary","359","0.653078919183912","0.615274930652125","0.690882907715698"
"Permanent","1999","no migration background","middle vocational","2910","0.897967857081924","0.887602720143896","0.908332994019952"
"Permanent","1999","no migration background","vocational + Abi","213","0.926988225587758","0.893583824389205","0.960392626786312"
"Permanent","1999","no migration background","higher vocational","420","0.946878001310711","0.92617925523304","0.967576747388382"
"Permanent","1999","no migration background","higher education","1024","0.879594786368696","0.860875212826108","0.898314359911283"
"Permanent","1999","direct migration background","in school","1","","",""
"Permanent","1999","direct migration background","inadequately","125","0.880413005636781","0.825267836817764","0.935558174455798"
"Permanent","1999","direct migration background","general elemantary","250","0.856987783912276","0.816343493591591","0.89763207423296"
"Permanent","1999","direct migration background","middle vocational","387","0.853709563567389","0.820726435781594","0.886692691353183"
"Permanent","1999","direct migration background","vocational + Abi","68","0.908929772448924","0.845080762837494","0.972778782060354"
"Permanent","1999","direct migration background","higher vocational","30","0.914900514620096","0.818223439063587","1.01157759017661"
"Permanent","1999","direct migration background","higher education","94","0.880124010192871","0.819146051808445","0.941101968577298"
"Permanent","1999","indirect migration background","in school","3","","",""
"Permanent","1999","indirect migration background","inadequately","5","","",""
"Permanent","1999","indirect migration background","general elemantary","51","0.369570709039411","0.282846255205778","0.456295162873043"
"Permanent","1999","indirect migration background","middle vocational","128","0.790654979929749","0.727615456370926","0.853694503488572"
"Permanent","1999","indirect migration background","vocational + Abi","13","","",""
"Permanent","1999","indirect migration background","higher vocational","11","","",""
"Permanent","1999","indirect migration background","higher education","14","","",""
"Limited","1999","no migration background","in school","2","","",""
"Limited","1999","no migration background","inadequately","7","","",""
"Limited","1999","no migration background","general elemantary","250","0.346921080816088","0.309117092284302","0.384725069347875"
"Limited","1999","no migration background","middle vocational","366","0.102032142918076","0.0916670059800485","0.112397279856104"
"Limited","1999","no migration background","vocational + Abi","20","","",""
"Limited","1999","no migration background","higher vocational","31","0.0531219986892891","0.0324232526116181","0.07382074476696"
"Limited","1999","no migration background","higher education","137","0.120405213631304","0.101685640088717","0.139124787173892"
"Limited","1999","direct migration background","in school","1","","",""
"Limited","1999","direct migration background","inadequately","8","","",""
"Limited","1999","direct migration background","general elemantary","35","0.143012216087724","0.10236792576704","0.183656506408409"
"Limited","1999","direct migration background","middle vocational","54","0.146290436432611","0.113307308646817","0.179273564218406"
"Limited","1999","direct migration background","vocational + Abi","10","","",""
"Limited","1999","direct migration background","higher vocational","2","","",""
"Limited","1999","direct migration background","higher education","15","","",""
"Limited","1999","indirect migration background","in school","1","","",""
"Limited","1999","indirect migration background","inadequately","5","","",""
"Limited","1999","indirect migration background","general elemantary","68","0.630429290960589","0.543704837126957","0.717153744794222"
"Limited","1999","indirect migration background","middle vocational","32","0.209345020070251","0.146305496511428","0.272384543629074"
"Limited","1999","indirect migration background","vocational + Abi","2","","",""
"Limited","1999","indirect migration background","higher vocational","","","",""
"Limited","1999","indirect migration background","higher education","4","","",""
"Permanent","2000","no migration background","in school","14","","",""
"Permanent","2000","no migration background","inadequately","25","","",""
"Permanent","2000","no migration background","general elemantary","390","0.570532374545714","0.535905074927252","0.605159674164177"
"Permanent","2000","no migration background","middle vocational","4827","0.891655768478727","0.883385688590273","0.899925848367181"
"Permanent","2000","no migration background","vocational + Abi","420","0.875825397392426","0.846415081958994","0.905235712825858"
"Permanent","2000","no migration background","higher vocational","838","0.946694863997097","0.931944634504483","0.96144509348971"
"Permanent","2000","no migration background","higher education","1848","0.884110559835285","0.870311386370077","0.897909733300493"
"Permanent","2000","direct migration background","in school","2","","",""
"Permanent","2000","direct migration background","inadequately","72","0.809292761177059","0.725280076128401","0.893305446225717"
"Permanent","2000","direct migration background","general elemantary","305","0.809318358424873","0.76885071237482","0.849786004474926"
"Permanent","2000","direct migration background","middle vocational","568","0.871500387744895","0.845634504940998","0.897366270548791"
"Permanent","2000","direct migration background","vocational + Abi","134","0.875782046638297","0.823347622735593","0.928216470541001"
"Permanent","2000","direct migration background","higher vocational","104","0.952658727885751","0.913328386427984","0.991989069343519"
"Permanent","2000","direct migration background","higher education","187","0.799481285461684","0.746930735378461","0.852031835544907"
"Permanent","2000","indirect migration background","in school","","","",""
"Permanent","2000","indirect migration background","inadequately","1","","",""
"Permanent","2000","indirect migration background","general elemantary","48","0.320719161913223","0.241394285057888","0.400044038768557"
"Permanent","2000","indirect migration background","middle vocational","175","0.854585470961352","0.806678570135286","0.902492371787417"
"Permanent","2000","indirect migration background","vocational + Abi","22","","",""
"Permanent","2000","indirect migration background","higher vocational","23","","",""
"Permanent","2000","indirect migration background","higher education","32","0.795497523083851","0.670504204871403","0.9204908412963"
"Limited","2000","no migration background","in school","4","","",""
"Limited","2000","no migration background","inadequately","12","","",""
"Limited","2000","no migration background","general elemantary","395","0.429467625454286","0.394840325835823","0.464094925072748"
"Limited","2000","no migration background","middle vocational","599","0.108344231521273","0.100074151632819","0.116614311409727"
"Limited","2000","no migration background","vocational + Abi","63","0.124174602607574","0.094764287174142","0.153584918041006"
"Limited","2000","no migration background","higher vocational","53","0.0533051360029031","0.0385549065102897","0.0680553654955166"
"Limited","2000","no migration background","higher education","219","0.115889440164715","0.102090266699507","0.129688613629923"
"Limited","2000","direct migration background","in school","","","",""
"Limited","2000","direct migration background","inadequately","12","","",""
"Limited","2000","direct migration background","general elemantary","57","0.190681641575127","0.150213995525074","0.23114928762518"
"Limited","2000","direct migration background","middle vocational","75","0.128499612255105","0.102633729451209","0.154365495059002"
"Limited","2000","direct migration background","vocational + Abi","18","","",""
"Limited","2000","direct migration background","higher vocational","8","","",""
"Limited","2000","direct migration background","higher education","36","0.200518714538316","0.147968164455093","0.253069264621539"
"Limited","2000","indirect migration background","in school","2","","",""
"Limited","2000","indirect migration background","inadequately","","","",""
"Limited","2000","indirect migration background","general elemantary","85","0.679280838086777","0.599955961231443","0.758605714942112"
"Limited","2000","indirect migration background","middle vocational","33","0.145414529038648","0.0975076282125829","0.193321429864714"
"Limited","2000","indirect migration background","vocational + Abi","3","","",""
"Limited","2000","indirect migration background","higher vocational","3","","",""
"Limited","2000","indirect migration background","higher education","8","","",""
"Permanent","2001","no migration background","in school","26","","",""
"Permanent","2001","no migration background","inadequately","24","","",""
"Permanent","2001","no migration background","general elemantary","328","0.539921192762053","0.502597542875529","0.577244842648577"
"Permanent","2001","no migration background","middle vocational","4352","0.902063016850043","0.893731388823251","0.910394644876834"
"Permanent","2001","no migration background","vocational + Abi","402","0.900512153467239","0.872795621482382","0.928228685452097"
"Permanent","2001","no migration background","higher vocational","733","0.950097394063902","0.934816580898067","0.965378207229737"
"Permanent","2001","no migration background","higher education","1744","0.890186631354663","0.876234192811939","0.904139069897387"
"Permanent","2001","direct migration background","in school","2","","",""
"Permanent","2001","direct migration background","inadequately","64","0.963286068248088","0.917916023145137","1.00865611335104"
"Permanent","2001","direct migration background","general elemantary","267","0.725240208844469","0.67736701706174","0.773113400627198"
"Permanent","2001","direct migration background","middle vocational","519","0.871244382151052","0.844080317436311","0.898408446865793"
"Permanent","2001","direct migration background","vocational + Abi","135","0.894029252156102","0.843756147180066","0.944302357132138"
"Permanent","2001","direct migration background","higher vocational","86","0.912703903373061","0.856531295058551","0.96887651168757"
"Permanent","2001","direct migration background","higher education","167","0.827627489953098","0.774201948379432","0.881053031526764"
"Permanent","2001","indirect migration background","in school","1","","",""
"Permanent","2001","indirect migration background","inadequately","3","","",""
"Permanent","2001","indirect migration background","general elemantary","53","0.399600834733271","0.316041618318837","0.483160051147704"
"Permanent","2001","indirect migration background","middle vocational","151","0.789677264725175","0.731729162385335","0.847625367065015"
"Permanent","2001","indirect migration background","vocational + Abi","23","","",""
"Permanent","2001","indirect migration background","higher vocational","23","","",""
"Permanent","2001","indirect migration background","higher education","35","0.830802641989043","0.716039643772802","0.945565640205283"
"Limited","2001","no migration background","in school","7","","",""
"Limited","2001","no migration background","inadequately","10","","",""
"Limited","2001","no migration background","general elemantary","357","0.460078807237947","0.422755157351423","0.497402457124471"
"Limited","2001","no migration background","middle vocational","537","0.0979369831499575","0.0896053551231658","0.106268611176749"
"Limited","2001","no migration background","vocational + Abi","46","0.0994878465327605","0.0717713145479033","0.127204378517618"
"Limited","2001","no migration background","higher vocational","47","0.049902605936098","0.0346217927702631","0.065183419101933"
"Limited","2001","no migration background","higher education","185","0.109813368645337","0.0958609301026127","0.123765807188061"
"Limited","2001","direct migration background","in school","1","","",""
"Limited","2001","direct migration background","inadequately","2","","",""
"Limited","2001","direct migration background","general elemantary","67","0.274759791155531","0.226886599372802","0.32263298293826"
"Limited","2001","direct migration background","middle vocational","65","0.128755617848948","0.101591553134207","0.155919682563689"
"Limited","2001","direct migration background","vocational + Abi","9","","",""
"Limited","2001","direct migration background","higher vocational","11","","",""
"Limited","2001","direct migration background","higher education","25","","",""
"Limited","2001","indirect migration background","in school","3","","",""
"Limited","2001","indirect migration background","inadequately","1","","",""
"Limited","2001","indirect migration background","general elemantary","79","0.60039916526673","0.516839948852296","0.683958381681163"
"Limited","2001","indirect migration background","middle vocational","39","0.210322735274825","0.152374632934985","0.268270837614665"
"Limited","2001","indirect migration background","vocational + Abi","2","","",""
"Limited","2001","indirect migration background","higher vocational","2","","",""
"Limited","2001","indirect migration background","higher education","6","","",""
"Permanent","2002","no migration background","in school","21","","",""
"Permanent","2002","no migration background","inadequately","22","","",""
"Permanent","2002","no migration background","general elemantary","300","0.538005372271769","0.499470460103574","0.576540284439965"
"Permanent","2002","no migration background","middle vocational","4358","0.907518442731929","0.899372714090728","0.915664171373131"
"Permanent","2002","no migration background","vocational + Abi","478","0.886046312087811","0.859220917926097","0.912871706249526"
"Permanent","2002","no migration background","higher vocational","789","0.942267848843355","0.926410023307129","0.958125674379581"
"Permanent","2002","no migration background","higher education","2259","0.894004991178084","0.88187498777342","0.906134994582747"
"Permanent","2002","direct migration background","in school","2","","",""
"Permanent","2002","direct migration background","inadequately","48","0.888789720397043","0.804935835321031","0.972643605473055"
"Permanent","2002","direct migration background","general elemantary","236","0.730986868114079","0.680036992933498","0.781936743294659"
"Permanent","2002","direct migration background","middle vocational","456","0.874386904892922","0.845624030562558","0.903149779223285"
"Permanent","2002","direct migration background","vocational + Abi","128","0.854936576966397","0.796392009666057","0.913481144266738"
"Permanent","2002","direct migration background","higher vocational","86","0.871096628992372","0.802992738705506","0.939200519279237"
"Permanent","2002","direct migration background","higher education","187","0.810165690114604","0.758225885556584","0.862105494672624"
"Permanent","2002","indirect migration background","in school","6","","",""
"Permanent","2002","indirect migration background","inadequately","1","","",""
"Permanent","2002","indirect migration background","general elemantary","37","0.333443255648483","0.242836422015182","0.424050089281785"
"Permanent","2002","indirect migration background","middle vocational","153","0.781384078867266","0.722769644287904","0.839998513446628"
"Permanent","2002","indirect migration background","vocational + Abi","19","","",""
"Permanent","2002","indirect migration background","higher vocational","25","","",""
"Permanent","2002","indirect migration background","higher education","40","0.743960338291047","0.622986460293616","0.864934216288478"
"Limited","2002","no migration background","in school","10","","",""
"Limited","2002","no migration background","inadequately","6","","",""
"Limited","2002","no migration background","general elemantary","343","0.461994627728231","0.423459715560035","0.500529539896426"
"Limited","2002","no migration background","middle vocational","501","0.0924815572680705","0.084335828626869","0.100627285909272"
"Limited","2002","no migration background","vocational + Abi","61","0.113953687912189","0.0871282937504739","0.140779082073903"
"Limited","2002","no migration background","higher vocational","42","0.0577321511566452","0.0418743256204195","0.073589976692871"
"Limited","2002","no migration background","higher education","215","0.105995008821916","0.0938650054172525","0.11812501222658"
"Limited","2002","direct migration background","in school","","","",""
"Limited","2002","direct migration background","inadequately","6","","",""
"Limited","2002","direct migration background","general elemantary","55","0.269013131885921","0.218063256705341","0.319963007066502"
"Limited","2002","direct migration background","middle vocational","54","0.125613095107078","0.0968502207767147","0.154375969437442"
"Limited","2002","direct migration background","vocational + Abi","11","","",""
"Limited","2002","direct migration background","higher vocational","7","","",""
"Limited","2002","direct migration background","higher education","32","0.189834309885396","0.137894505327376","0.241774114443416"
"Limited","2002","indirect migration background","in school","","","",""
"Limited","2002","indirect migration background","inadequately","2","","",""
"Limited","2002","indirect migration background","general elemantary","67","0.666556744351517","0.575949910718215","0.757163577984818"
"Limited","2002","indirect migration background","middle vocational","38","0.218615921132734","0.160001486553372","0.277230355712096"
"Limited","2002","indirect migration background","vocational + Abi","4","","",""
"Limited","2002","indirect migration background","higher vocational","2","","",""
"Limited","2002","indirect migration background","higher education","10","","",""
"Permanent","2003","no migration background","in school","16","","",""
"Permanent","2003","no migration background","inadequately","21","","",""
"Permanent","2003","no migration background","general elemantary","280","0.537891793703226","0.498520740312457","0.577262847093995"
"Permanent","2003","no migration background","middle vocational","4078","0.911442512807972","0.903161029690464","0.919723995925481"
"Permanent","2003","no migration background","vocational + Abi","456","0.843309257718541","0.812065625123033","0.874552890314049"
"Permanent","2003","no migration background","higher vocational","739","0.943723267083062","0.927508750688928","0.959937783477196"
"Permanent","2003","no migration background","higher education","2086","0.88501660477182","0.87198527590449","0.89804793363915"
"Permanent","2003","direct migration background","in school","2","","",""
"Permanent","2003","direct migration background","inadequately","42","0.813724223032415","0.701215553467222","0.926232892597608"
"Permanent","2003","direct migration background","general elemantary","215","0.729080773638352","0.675469779108134","0.78269176816857"
"Permanent","2003","direct migration background","middle vocational","430","0.890592412519937","0.862725568410381","0.918459256629492"
"Permanent","2003","direct migration background","vocational + Abi","116","0.838840590876679","0.775878376294118","0.90180280545924"
"Permanent","2003","direct migration background","higher vocational","73","0.867865107800028","0.792227532232544","0.943502683367511"
"Permanent","2003","direct migration background","higher education","163","0.867903314398635","0.820133773164601","0.91567285563267"
"Permanent","2003","indirect migration background","in school","4","","",""
"Permanent","2003","indirect migration background","inadequately","1","","",""
"Permanent","2003","indirect migration background","general elemantary","41","0.345805828920828","0.253046650373268","0.438565007468387"
"Permanent","2003","indirect migration background","middle vocational","154","0.802371978308899","0.745144612309079","0.859599344308718"
"Permanent","2003","indirect migration background","vocational + Abi","21","","",""
"Permanent","2003","indirect migration background","higher vocational","22","","",""
"Permanent","2003","indirect migration background","higher education","46","0.881809647475586","0.793208072908052","0.97041122204312"
"Limited","2003","no migration background","in school","4","","",""
"Limited","2003","no migration background","inadequately","5","","",""
"Limited","2003","no migration background","general elemantary","336","0.462108206296774","0.422737152906005","0.501479259687543"
"Limited","2003","no migration background","middle vocational","443","0.0885574871920278","0.080276004074519","0.0968389703095365"
"Limited","2003","no migration background","vocational + Abi","64","0.156690742281459","0.125447109685951","0.187934374876967"
"Limited","2003","no migration background","higher vocational","37","0.056276732916938","0.0400622165228038","0.0724912493110721"
"Limited","2003","no migration background","higher education","216","0.11498339522818","0.10195206636085","0.12801472409551"
"Limited","2003","direct migration background","in school","","","",""
"Limited","2003","direct migration background","inadequately","4","","",""
"Limited","2003","direct migration background","general elemantary","49","0.270919226361648","0.21730823183143","0.324530220891866"
"Limited","2003","direct migration background","middle vocational","52","0.109407587480063","0.0815407433705079","0.137274431589619"
"Limited","2003","direct migration background","vocational + Abi","15","","",""
"Limited","2003","direct migration background","higher vocational","4","","",""
"Limited","2003","direct migration background","higher education","30","0.132096685601365","0.0843271443673304","0.179866226835399"
"Limited","2003","indirect migration background","in school","1","","",""
"Limited","2003","indirect migration background","inadequately","3","","",""
"Limited","2003","indirect migration background","general elemantary","60","0.654194171079172","0.561434992531613","0.746953349626732"
"Limited","2003","indirect migration background","middle vocational","32","0.197628021691101","0.140400655691282","0.254855387690921"
"Limited","2003","indirect migration background","vocational + Abi","5","","",""
"Limited","2003","indirect migration background","higher vocational","3","","",""
"Limited","2003","indirect migration background","higher education","5","","",""
"Permanent","2004","no migration background","in school","15","","",""
"Permanent","2004","no migration background","inadequately","16","","",""
"Permanent","2004","no migration background","general elemantary","266","0.54330229992943","0.502763650272024","0.583840949586835"
"Permanent","2004","no migration background","middle vocational","3842","0.901468562024178","0.892583337368588","0.910353786679768"
"Permanent","2004","no migration background","vocational + Abi","457","0.867578333364175","0.838445663140403","0.896711003587946"
"Permanent","2004","no migration background","higher vocational","716","0.944315527124529","0.927958655807613","0.960672398441445"
"Permanent","2004","no migration background","higher education","2035","0.861556139966082","0.847339368845029","0.875772911087135"
"Permanent","2004","direct migration background","in school","","","",""
"Permanent","2004","direct migration background","inadequately","38","0.967420597625029","0.912403545458101","1.02243764979196"
"Permanent","2004","direct migration background","general elemantary","205","0.835551949738038","0.787750266031377","0.883353633444699"
"Permanent","2004","direct migration background","middle vocational","400","0.875778909596605","0.845099180835469","0.90645863835774"
"Permanent","2004","direct migration background","vocational + Abi","121","0.860310476067867","0.80094663857981","0.919674313555924"
"Permanent","2004","direct migration background","higher vocational","73","0.958353236449301","0.913730503650307","1.00297596924829"
"Permanent","2004","direct migration background","higher education","158","0.783969351467333","0.724826964849328","0.843111738085337"
"Permanent","2004","indirect migration background","in school","1","","",""
"Permanent","2004","indirect migration background","inadequately","4","","",""
"Permanent","2004","indirect migration background","general elemantary","38","0.331041824621987","0.238808257049647","0.423275392194327"
"Permanent","2004","indirect migration background","middle vocational","153","0.779377668346221","0.718800279080621","0.839955057611821"
"Permanent","2004","indirect migration background","vocational + Abi","23","","",""
"Permanent","2004","indirect migration background","higher vocational","28","","",""
"Permanent","2004","indirect migration background","higher education","40","0.95260124536213","0.888338025193321","1.01686446553094"
"Limited","2004","no migration background","in school","7","","",""
"Limited","2004","no migration background","inadequately","8","","",""
