"pli0165","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","2017","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","2017","Couple + C. GT 16 ","direct migration background","9","","",""
"Min 1x per week","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","2017","Couple + C. LE and GT 16","direct migration background","106","0.160572396198416","0.131994481900984","0.189150310495847"
"Min 1x per week","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","2017","1-pers.-HH","no migration background","","","",""
"Min 1x per month","2017","1-pers.-HH","direct migration background","38","0.0432262477589094","0.0312894165512224","0.0551630789665964"
"Min 1x per month","2017","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","2017","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","2017","(Married) couple without C. ","direct migration background","9","","",""
"Min 1x per month","2017","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","2017","Single parent ","no migration background","","","",""
"Min 1x per month","2017","Single parent ","direct migration background","14","","",""
"Min 1x per month","2017","Single parent ","indirect migration background","","","",""
"Min 1x per month","2017","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","2017","Couple + C. LE 16 ","direct migration background","69","0.0336934783142934","0.0262999717990319","0.0410869848295548"
"Min 1x per month","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","2017","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","2017","Couple + C. GT 16 ","direct migration background","4","","",""
"Min 1x per month","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","2017","Couple + C. LE and GT 16","direct migration background","13","","",""
"Min 1x per month","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","2017","1-pers.-HH","no migration background","","","",""
"Rarely","2017","1-pers.-HH","direct migration background","56","0.0536681588463309","0.0404402640543696","0.0668960536382922"
"Rarely","2017","1-pers.-HH","indirect migration background","","","",""
"Rarely","2017","(Married) couple without C. ","no migration background","","","",""
"Rarely","2017","(Married) couple without C. ","direct migration background","11","","",""
"Rarely","2017","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","2017","Single parent ","no migration background","","","",""
"Rarely","2017","Single parent ","direct migration background","27","","",""
"Rarely","2017","Single parent ","indirect migration background","","","",""
"Rarely","2017","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","2017","Couple + C. LE 16 ","direct migration background","131","0.0519015947642971","0.0428121544911105","0.0609910350374837"
"Rarely","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","2017","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","2017","Couple + C. GT 16 ","direct migration background","6","","",""
"Rarely","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","2017","Couple + C. LE and GT 16","direct migration background","36","0.0560186626416448","0.0381187243211471","0.0739186009621424"
"Rarely","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","2017","1-pers.-HH","no migration background","","","",""
"Never","2017","1-pers.-HH","direct migration background","127","0.133613332749206","0.113642717903676","0.153583947594736"
"Never","2017","1-pers.-HH","indirect migration background","","","",""
"Never","2017","(Married) couple without C. ","no migration background","","","",""
"Never","2017","(Married) couple without C. ","direct migration background","35","0.204932072825209","0.150207543922148","0.259656601728269"
"Never","2017","(Married) couple without C. ","indirect migration background","","","",""
"Never","2017","Single parent ","no migration background","","","",""
"Never","2017","Single parent ","direct migration background","77","0.23465583540848","0.192542721275287","0.276768949541674"
"Never","2017","Single parent ","indirect migration background","","","",""
"Never","2017","Couple + C. LE 16 ","no migration background","","","",""
"Never","2017","Couple + C. LE 16 ","direct migration background","342","0.161302526849073","0.146231482992359","0.176373570705787"
"Never","2017","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","2017","Couple + C. GT 16 ","no migration background","","","",""
"Never","2017","Couple + C. GT 16 ","direct migration background","25","","",""
"Never","2017","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","2017","Couple + C. LE and GT 16","no migration background","","","",""
"Never","2017","Couple + C. LE and GT 16","direct migration background","136","0.246531665731824","0.212983226553104","0.280080104910544"
"Never","2017","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","2018","1-pers.-HH","no migration background","","","",""
"Daily","2018","1-pers.-HH","direct migration background","563","0.701241511899713","0.669242928427347","0.733240095372079"
"Daily","2018","1-pers.-HH","indirect migration background","","","",""
"Daily","2018","(Married) couple without C. ","no migration background","","","",""
"Daily","2018","(Married) couple without C. ","direct migration background","89","0.577255494794489","0.492662292287371","0.661848697301607"
"Daily","2018","(Married) couple without C. ","indirect migration background","","","",""
"Daily","2018","Single parent ","no migration background","","","",""
"Daily","2018","Single parent ","direct migration background","192","0.571930572427617","0.518301167655375","0.62555997719986"
"Daily","2018","Single parent ","indirect migration background","","","",""
"Daily","2018","Couple + C. LE 16 ","no migration background","","","",""
"Daily","2018","Couple + C. LE 16 ","direct migration background","1053","0.618186728806318","0.594801524071507","0.641571933541129"
"Daily","2018","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","2018","Couple + C. GT 16 ","no migration background","","","",""
"Daily","2018","Couple + C. GT 16 ","direct migration background","48","0.572706836388797","0.469933076859578","0.675480595918016"
"Daily","2018","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","2018","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","2018","Couple + C. LE and GT 16","direct migration background","313","0.577145000759048","0.534437443157027","0.61985255836107"
"Daily","2018","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","2018","1-pers.-HH","no migration background","","","",""
"Min 1x per week","2018","1-pers.-HH","direct migration background","109","0.15165909704034","0.126583212903056","0.176734981177624"
"Min 1x per week","2018","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","2018","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","2018","(Married) couple without C. ","direct migration background","18","","",""
"Min 1x per week","2018","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","2018","Single parent ","no migration background","","","",""
"Min 1x per week","2018","Single parent ","direct migration background","61","0.222821019395223","0.17771725227244","0.267924786518006"
"Min 1x per week","2018","Single parent ","indirect migration background","","","",""
"Min 1x per week","2018","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","2018","Couple + C. LE 16 ","direct migration background","291","0.177684902146894","0.159285647773071","0.196084156520717"
"Min 1x per week","2018","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","2018","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","2018","Couple + C. GT 16 ","direct migration background","12","","",""
"Min 1x per week","2018","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","2018","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","2018","Couple + C. LE and GT 16","direct migration background","88","0.193088020716366","0.158964229319874","0.227211812112857"
"Min 1x per week","2018","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","2018","1-pers.-HH","no migration background","","","",""
"Min 1x per month","2018","1-pers.-HH","direct migration background","21","","",""
"Min 1x per month","2018","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","2018","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","2018","(Married) couple without C. ","direct migration background","4","","",""
"Min 1x per month","2018","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","2018","Single parent ","no migration background","","","",""
"Min 1x per month","2018","Single parent ","direct migration background","10","","",""
"Min 1x per month","2018","Single parent ","indirect migration background","","","",""
"Min 1x per month","2018","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","2018","Couple + C. LE 16 ","direct migration background","49","0.0287570237809544","0.0207126592630362","0.0368013882988726"
"Min 1x per month","2018","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","2018","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","2018","Couple + C. GT 16 ","direct migration background","3","","",""
"Min 1x per month","2018","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","2018","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","2018","Couple + C. LE and GT 16","direct migration background","19","","",""
"Min 1x per month","2018","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","2018","1-pers.-HH","no migration background","","","",""
"Rarely","2018","1-pers.-HH","direct migration background","37","0.0532390814900951","0.0375436862605018","0.0689344767196884"
"Rarely","2018","1-pers.-HH","indirect migration background","","","",""
"Rarely","2018","(Married) couple without C. ","no migration background","","","",""
"Rarely","2018","(Married) couple without C. ","direct migration background","9","","",""
"Rarely","2018","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","2018","Single parent ","no migration background","","","",""
"Rarely","2018","Single parent ","direct migration background","13","","",""
"Rarely","2018","Single parent ","indirect migration background","","","",""
"Rarely","2018","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","2018","Couple + C. LE 16 ","direct migration background","90","0.0540499534532548","0.043165977050912","0.0649339298555977"
"Rarely","2018","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","2018","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","2018","Couple + C. GT 16 ","direct migration background","4","","",""
"Rarely","2018","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","2018","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","2018","Couple + C. LE and GT 16","direct migration background","27","","",""
"Rarely","2018","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","2018","1-pers.-HH","no migration background","","","",""
"Never","2018","1-pers.-HH","direct migration background","56","0.0705603985851535","0.0526573117905256","0.0884634853797814"
"Never","2018","1-pers.-HH","indirect migration background","","","",""
"Never","2018","(Married) couple without C. ","no migration background","","","",""
"Never","2018","(Married) couple without C. ","direct migration background","11","","",""
"Never","2018","(Married) couple without C. ","indirect migration background","","","",""
"Never","2018","Single parent ","no migration background","","","",""
"Never","2018","Single parent ","direct migration background","51","0.132251010019385","0.0955337071517193","0.168968312887051"
"Never","2018","Single parent ","indirect migration background","","","",""
"Never","2018","Couple + C. LE 16 ","no migration background","","","",""
"Never","2018","Couple + C. LE 16 ","direct migration background","175","0.121321391812578","0.10560548132318","0.137037302301976"
"Never","2018","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","2018","Couple + C. GT 16 ","no migration background","","","",""
"Never","2018","Couple + C. GT 16 ","direct migration background","22","","",""
"Never","2018","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","2018","Couple + C. LE and GT 16","no migration background","","","",""
"Never","2018","Couple + C. LE and GT 16","direct migration background","67","0.132724003859226","0.103393472421814","0.162054535296639"
"Never","2018","Couple + C. LE and GT 16","indirect migration background","","","",""
"Daily","2019","1-pers.-HH","no migration background","","","",""
"Daily","2019","1-pers.-HH","direct migration background","534","0.751725210954052","0.719420519970074","0.78402990193803"
"Daily","2019","1-pers.-HH","indirect migration background","","","",""
"Daily","2019","(Married) couple without C. ","no migration background","","","",""
"Daily","2019","(Married) couple without C. ","direct migration background","87","0.711185148246603","0.628710552245635","0.79365974424757"
"Daily","2019","(Married) couple without C. ","indirect migration background","","","",""
"Daily","2019","Single parent ","no migration background","","","",""
"Daily","2019","Single parent ","direct migration background","174","0.642019610153026","0.585151272597344","0.698887947708708"
"Daily","2019","Single parent ","indirect migration background","","","",""
"Daily","2019","Couple + C. LE 16 ","no migration background","","","",""
"Daily","2019","Couple + C. LE 16 ","direct migration background","1040","0.658676148607805","0.634878587174878","0.682473710040732"
"Daily","2019","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","2019","Couple + C. GT 16 ","no migration background","","","",""
"Daily","2019","Couple + C. GT 16 ","direct migration background","55","0.665689875329095","0.573228823075081","0.75815092758311"
"Daily","2019","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","2019","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","2019","Couple + C. LE and GT 16","direct migration background","392","0.650763830416223","0.611695811608155","0.689831849224292"
"Daily","2019","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","2019","1-pers.-HH","no migration background","","","",""
"Min 1x per week","2019","1-pers.-HH","direct migration background","88","0.13678795700558","0.11109273351321","0.162483180497951"
"Min 1x per week","2019","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","2019","(Married) couple without C. ","no migration background","","","",""
"Min 1x per week","2019","(Married) couple without C. ","direct migration background","16","","",""
"Min 1x per week","2019","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per week","2019","Single parent ","no migration background","","","",""
"Min 1x per week","2019","Single parent ","direct migration background","37","0.109580223896523","0.0725266367935539","0.146633810999493"
"Min 1x per week","2019","Single parent ","indirect migration background","","","",""
"Min 1x per week","2019","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per week","2019","Couple + C. LE 16 ","direct migration background","258","0.174337767697623","0.15529587474891","0.193379660646337"
"Min 1x per week","2019","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per week","2019","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per week","2019","Couple + C. GT 16 ","direct migration background","17","","",""
"Min 1x per week","2019","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per week","2019","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per week","2019","Couple + C. LE and GT 16","direct migration background","81","0.163084551263426","0.132808636044041","0.19336046648281"
"Min 1x per week","2019","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per month","2019","1-pers.-HH","no migration background","","","",""
"Min 1x per month","2019","1-pers.-HH","direct migration background","9","","",""
"Min 1x per month","2019","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","2019","(Married) couple without C. ","no migration background","","","",""
"Min 1x per month","2019","(Married) couple without C. ","direct migration background","","","",""
"Min 1x per month","2019","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","2019","Single parent ","no migration background","","","",""
"Min 1x per month","2019","Single parent ","direct migration background","3","","",""
"Min 1x per month","2019","Single parent ","indirect migration background","","","",""
"Min 1x per month","2019","Couple + C. LE 16 ","no migration background","","","",""
"Min 1x per month","2019","Couple + C. LE 16 ","direct migration background","27","","",""
"Min 1x per month","2019","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","2019","Couple + C. GT 16 ","no migration background","","","",""
"Min 1x per month","2019","Couple + C. GT 16 ","direct migration background","4","","",""
"Min 1x per month","2019","Couple + C. GT 16 ","indirect migration background","","","",""
"Min 1x per month","2019","Couple + C. LE and GT 16","no migration background","","","",""
"Min 1x per month","2019","Couple + C. LE and GT 16","direct migration background","12","","",""
"Min 1x per month","2019","Couple + C. LE and GT 16","indirect migration background","","","",""
"Rarely","2019","1-pers.-HH","no migration background","","","",""
"Rarely","2019","1-pers.-HH","direct migration background","23","","",""
"Rarely","2019","1-pers.-HH","indirect migration background","","","",""
"Rarely","2019","(Married) couple without C. ","no migration background","","","",""
"Rarely","2019","(Married) couple without C. ","direct migration background","7","","",""
"Rarely","2019","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","2019","Single parent ","no migration background","","","",""
"Rarely","2019","Single parent ","direct migration background","24","","",""
"Rarely","2019","Single parent ","indirect migration background","","","",""
"Rarely","2019","Couple + C. LE 16 ","no migration background","","","",""
"Rarely","2019","Couple + C. LE 16 ","direct migration background","81","0.0571815388100738","0.0455280724373291","0.0688350051828185"
"Rarely","2019","Couple + C. LE 16 ","indirect migration background","","","",""
"Rarely","2019","Couple + C. GT 16 ","no migration background","","","",""
"Rarely","2019","Couple + C. GT 16 ","direct migration background","9","","",""
"Rarely","2019","Couple + C. GT 16 ","indirect migration background","","","",""
"Rarely","2019","Couple + C. LE and GT 16","no migration background","","","",""
"Rarely","2019","Couple + C. LE and GT 16","direct migration background","29","","",""
"Rarely","2019","Couple + C. LE and GT 16","indirect migration background","","","",""
"Never","2019","1-pers.-HH","no migration background","","","",""
"Never","2019","1-pers.-HH","direct migration background","33","0.0623947559170596","0.0443082872053236","0.0804812246287956"
"Never","2019","1-pers.-HH","indirect migration background","","","",""
"Never","2019","(Married) couple without C. ","no migration background","","","",""
"Never","2019","(Married) couple without C. ","direct migration background","6","","",""
"Never","2019","(Married) couple without C. ","indirect migration background","","","",""
"Never","2019","Single parent ","no migration background","","","",""
"Never","2019","Single parent ","direct migration background","35","0.123460135184739","0.0844375553471168","0.162482715022362"
"Never","2019","Single parent ","indirect migration background","","","",""
"Never","2019","Couple + C. LE 16 ","no migration background","","","",""
"Never","2019","Couple + C. LE 16 ","direct migration background","119","0.0883184178604971","0.074076764856286","0.102560070864708"
"Never","2019","Couple + C. LE 16 ","indirect migration background","","","",""
"Never","2019","Couple + C. GT 16 ","no migration background","","","",""
"Never","2019","Couple + C. GT 16 ","direct migration background","15","","",""
"Never","2019","Couple + C. GT 16 ","indirect migration background","","","",""
"Never","2019","Couple + C. LE and GT 16","no migration background","","","",""
"Never","2019","Couple + C. LE and GT 16","direct migration background","58","0.0956947312545027","0.0715872620436303","0.119802200465375"
"Never","2019","Couple + C. LE and GT 16","indirect migration background","","","",""
