"plb0218","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2017","no migration background","West Germany","4123","0.419022113598465","0.409176331397916","0.428867895799015"
"No, never","2017","no migration background","East Germany","1247","0.412346202098261","0.394850488772017","0.429841915424506"
"No, never","2017","direct migration background","West Germany","1191","0.427818352266667","0.409329946537092","0.446306757996243"
"No, never","2017","direct migration background","East Germany","96","0.416851713361921","0.350948110356915","0.482755316366927"
"No, never","2017","indirect migration background","West Germany","481","0.432542886079399","0.403212085087744","0.461873687071055"
"No, never","2017","indirect migration background","East Germany","21","","",""
"Yes, every week","2017","no migration background","West Germany","1305","0.129488616888113","0.122788922769109","0.136188311007118"
"Yes, every week","2017","no migration background","East Germany","369","0.12623529701687","0.114431342363057","0.138039251670683"
"Yes, every week","2017","direct migration background","West Germany","376","0.141358596460736","0.128339830456702","0.15437736246477"
"Yes, every week","2017","direct migration background","East Germany","20","","",""
"Yes, every week","2017","indirect migration background","West Germany","182","0.1731251137043","0.150725385397591","0.19552484201101"
"Yes, every week","2017","indirect migration background","East Germany","11","","",""
"Yes, every 2 weeks","2017","no migration background","West Germany","1290","0.137306863741445","0.130438927624779","0.144174799858111"
"Yes, every 2 weeks","2017","no migration background","East Germany","507","0.16229920527496","0.149194038826157","0.175404371723764"
"Yes, every 2 weeks","2017","direct migration background","West Germany","496","0.176134300175994","0.16189944752528","0.190369152826709"
"Yes, every 2 weeks","2017","direct migration background","East Germany","41","0.199709072655092","0.14627088689501","0.253147258415174"
"Yes, every 2 weeks","2017","indirect migration background","West Germany","166","0.146201591909538","0.125284729721997","0.167118454097079"
"Yes, every 2 weeks","2017","indirect migration background","East Germany","13","","",""
"Yes, every 3-4 weeks","2017","no migration background","West Germany","935","0.0886279538663773","0.0829566206465","0.0942992870862546"
"Yes, every 3-4 weeks","2017","no migration background","East Germany","321","0.0936799028736327","0.0833236200554213","0.104036185691844"
"Yes, every 3-4 weeks","2017","direct migration background","West Germany","229","0.0924630324608525","0.081638253811267","0.103287811110438"
"Yes, every 3-4 weeks","2017","direct migration background","East Germany","24","","",""
"Yes, every 3-4 weeks","2017","indirect migration background","West Germany","94","0.0847762336672414","0.0682853655783734","0.101267101756109"
"Yes, every 3-4 weeks","2017","indirect migration background","East Germany","12","","",""
"Rarely","2017","no migration background","West Germany","1994","0.225554451905599","0.217214316584133","0.233894587227065"
"Rarely","2017","no migration background","East Germany","597","0.205439392736276","0.191079696361364","0.219799089111187"
"Rarely","2017","direct migration background","West Germany","459","0.16222571863575","0.148449622616904","0.176001814654596"
"Rarely","2017","direct migration background","East Germany","34","0.176438384028294","0.125484951575948","0.22739181648064"
"Rarely","2017","indirect migration background","West Germany","173","0.163354174639521","0.141467551650837","0.185240797628206"
"Rarely","2017","indirect migration background","East Germany","7","","",""
"No, never","2018","no migration background","West Germany","","","",""
"No, never","2018","no migration background","East Germany","","","",""
"No, never","2018","direct migration background","West Germany","","","",""
"No, never","2018","direct migration background","East Germany","","","",""
"No, never","2018","indirect migration background","West Germany","","","",""
"No, never","2018","indirect migration background","East Germany","","","",""
"Yes, every week","2018","no migration background","West Germany","","","",""
"Yes, every week","2018","no migration background","East Germany","","","",""
"Yes, every week","2018","direct migration background","West Germany","","","",""
"Yes, every week","2018","direct migration background","East Germany","","","",""
"Yes, every week","2018","indirect migration background","West Germany","","","",""
"Yes, every week","2018","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2018","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2018","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2018","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2018","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2018","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2018","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2018","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2018","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","East Germany","","","",""
"Rarely","2018","no migration background","West Germany","","","",""
"Rarely","2018","no migration background","East Germany","","","",""
"Rarely","2018","direct migration background","West Germany","","","",""
"Rarely","2018","direct migration background","East Germany","","","",""
"Rarely","2018","indirect migration background","West Germany","","","",""
"Rarely","2018","indirect migration background","East Germany","","","",""
"No, never","2019","no migration background","West Germany","4060","0.42811200564316","0.418377920316364","0.437846090969956"
"No, never","2019","no migration background","East Germany","1257","0.402419691286194","0.385294691881967","0.419544690690421"
"No, never","2019","direct migration background","West Germany","1031","0.425292144652258","0.40535020743196","0.445234081872556"
"No, never","2019","direct migration background","East Germany","90","0.429926087773323","0.358779495744616","0.50107267980203"
"No, never","2019","indirect migration background","West Germany","492","0.471993317476684","0.442988870151936","0.500997764801432"
"No, never","2019","indirect migration background","East Germany","29","","",""
"Yes, every week","2019","no migration background","West Germany","1466","0.119786927221056","0.113399005655058","0.126174848787054"
"Yes, every week","2019","no migration background","East Germany","390","0.119986426454533","0.10863883846282","0.131334014446245"
"Yes, every week","2019","direct migration background","West Germany","348","0.153057422059247","0.138534490929946","0.167580353188547"
"Yes, every week","2019","direct migration background","East Germany","25","","",""
"Yes, every week","2019","indirect migration background","West Germany","180","0.141645846218406","0.121387119864759","0.161904572572053"
"Yes, every week","2019","indirect migration background","East Germany","21","","",""
"Yes, every 2 weeks","2019","no migration background","West Germany","1312","0.12950423031783","0.122899025855933","0.136109434779728"
"Yes, every 2 weeks","2019","no migration background","East Germany","533","0.167844924676241","0.154793766475879","0.180896082876604"
"Yes, every 2 weeks","2019","direct migration background","West Germany","415","0.184694399195802","0.169041774464124","0.20034702392748"
"Yes, every 2 weeks","2019","direct migration background","East Germany","32","0.218903508576549","0.159478353511131","0.278328663641968"
"Yes, every 2 weeks","2019","indirect migration background","West Germany","174","0.150356988672806","0.129590789537674","0.171123187807938"
"Yes, every 2 weeks","2019","indirect migration background","East Germany","18","","",""
"Yes, every 3-4 weeks","2019","no migration background","West Germany","963","0.0919519799543369","0.0862674323724962","0.0976365275361777"
"Yes, every 3-4 weeks","2019","no migration background","East Germany","291","0.0945485436931241","0.0843308513494749","0.104766236036773"
"Yes, every 3-4 weeks","2019","direct migration background","West Germany","160","0.066588894526595","0.0565326116366499","0.0766451774165402"
"Yes, every 3-4 weeks","2019","direct migration background","East Germany","10","","",""
"Yes, every 3-4 weeks","2019","indirect migration background","West Germany","84","0.0798590888387208","0.0641096057046355","0.095608571972806"
"Yes, every 3-4 weeks","2019","indirect migration background","East Germany","3","","",""
"Rarely","2019","no migration background","West Germany","2125","0.230644856863617","0.222357877188997","0.238931836538236"
"Rarely","2019","no migration background","East Germany","679","0.215200413889908","0.200849031115541","0.229551796664274"
"Rarely","2019","direct migration background","West Germany","407","0.170367139566098","0.155202364042134","0.185531915090062"
"Rarely","2019","direct migration background","East Germany","29","","",""
"Rarely","2019","indirect migration background","West Germany","208","0.156144758793383","0.135054852910468","0.177234664676298"
"Rarely","2019","indirect migration background","East Germany","24","","",""
