"pli0097_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2014","16-34 y.","","","",""
"Min 1x per week","2014","35-65 y.","","","",""
"Min 1x per week","2014","66 and older","","","",""
"Min 1x per month","2014","16-34 y.","","","",""
"Min 1x per month","2014","35-65 y.","","","",""
"Min 1x per month","2014","66 and older","","","",""
"Rarely","2014","16-34 y.","","","",""
"Rarely","2014","35-65 y.","","","",""
"Rarely","2014","66 and older","","","",""
"Never","2014","16-34 y.","","","",""
"Never","2014","35-65 y.","","","",""
"Never","2014","66 and older","","","",""
"Daily","2015","16-34 y.","","","",""
"Daily","2015","35-65 y.","","","",""
"Daily","2015","66 and older","","","",""
"Min 1x per week","2015","16-34 y.","41","0.0110283508240071","0.00852711206989298","0.0135295895781212"
"Min 1x per week","2015","35-65 y.","148","0.00917925440270925","0.00766335490385699","0.0106951539015615"
"Min 1x per week","2015","66 and older","50","0.0101700316601781","0.00736961894130772","0.0129704443790484"
"Min 1x per month","2015","16-34 y.","63","0.00895972797428351","0.00670288675555462","0.0112165691930124"
"Min 1x per month","2015","35-65 y.","261","0.0158023867964301","0.0138200764020685","0.0177846971907918"
"Min 1x per month","2015","66 and older","103","0.0178410429902882","0.0141463224037257","0.0215357635768508"
"Rarely","2015","16-34 y.","289","0.0414565075540755","0.0366822020086193","0.0462308130995317"
"Rarely","2015","35-65 y.","968","0.0616727416670419","0.0578489611623435","0.0654965221717404"
"Rarely","2015","66 and older","353","0.068688985836557","0.0616295253541352","0.0757484463189788"
"Never","2015","16-34 y.","6304","0.938555413647634","0.932803932328566","0.944306894966702"
"Never","2015","35-65 y.","13827","0.913345617133819","0.908873820940472","0.917817413327165"
"Never","2015","66 and older","4425","0.903299939512977","0.895050775220705","0.911549103805249"
"Daily","2016","16-34 y.","","","",""
"Daily","2016","35-65 y.","","","",""
"Daily","2016","66 and older","","","",""
"Min 1x per week","2016","16-34 y.","","","",""
"Min 1x per week","2016","35-65 y.","","","",""
"Min 1x per week","2016","66 and older","","","",""
"Min 1x per month","2016","16-34 y.","","","",""
"Min 1x per month","2016","35-65 y.","","","",""
"Min 1x per month","2016","66 and older","","","",""
"Rarely","2016","16-34 y.","","","",""
"Rarely","2016","35-65 y.","","","",""
"Rarely","2016","66 and older","","","",""
"Never","2016","16-34 y.","","","",""
"Never","2016","35-65 y.","","","",""
"Never","2016","66 and older","","","",""
"Daily","2017","16-34 y.","","","",""
"Daily","2017","35-65 y.","","","",""
"Daily","2017","66 and older","","","",""
"Min 1x per week","2017","16-34 y.","38","0.00950992383798888","0.00709837161381323","0.0119214760621645"
"Min 1x per week","2017","35-65 y.","182","0.0131536984696373","0.0113535023797548","0.0149538945595197"
"Min 1x per week","2017","66 and older","70","0.0111981403788229","0.00828028026653753","0.0141160004911083"
"Min 1x per month","2017","16-34 y.","64","0.0101082625763441","0.00762275440848473","0.0125937707442035"
"Min 1x per month","2017","35-65 y.","255","0.0167172968698299","0.0146915119151889","0.0187430818244708"
"Min 1x per month","2017","66 and older","110","0.0202948395672097","0.0163848339146082","0.0242048452198113"
"Rarely","2017","16-34 y.","261","0.0435969900448025","0.0385232079914589","0.0486707720981461"
"Rarely","2017","35-65 y.","926","0.0623121214222314","0.0584927971429998","0.0661314457014629"
"Rarely","2017","66 and older","367","0.0682744151902745","0.0612806687762235","0.0752681616043254"
"Never","2017","16-34 y.","5859","0.936784823540864","0.930738189452982","0.942831457628747"
"Never","2017","35-65 y.","14024","0.907816883238302","0.90324604411832","0.912387722358283"
"Never","2017","66 and older","4449","0.900232604863693","0.89192246062421","0.908542749103176"
